Feb 28 18:40:40 2021 - NOTICE   Detected 1 CUDA Capable device(s)
Feb 28 18:40:40 2021 - NOTICE   Device info 0 free 11391139840 (GeForce RTX 2080 Ti)
Feb 28 18:40:40 2021 - NOTICE   Checked for devices.
Feb 28 18:40:40 2021 - NOTICE   Application binary compiled for compute capability 75.
Feb 28 18:40:40 2021 - NOTICE   The requested device has capability 75 and the device code was compiled for a compatible architecture for the selected card.
Feb 28 18:40:40 2021 - NOTICE   init_card complete. Selected card 0.
Feb 28 18:40:40 2021 - DEBUG    CARD INFORMATION:
Feb 28 18:40:40 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 28 18:40:40 2021 - DEBUG    Compute capability:	7.5
Feb 28 18:40:40 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 28 18:40:40 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 28 18:40:40 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 28 18:40:40 2021 - DEBUG    ID # on this machine:	0
Feb 28 18:40:40 2021 - DEBUG    Driver version:		11010
Feb 28 18:40:40 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 28 18:40:40 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 28 18:40:40 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 28 18:40:40 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 28 18:40:40 2021 - NOTICE   Calculating strategy.
Feb 28 18:40:40 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 4352
Feb 28 18:40:40 2021 - DEBUG    Range:	0 MAXSHIFT:	12482 Scrunch value:	1
Feb 28 18:40:40 2021 - DEBUG    Maximum dispersive delay:	 1.597696(s).
Feb 28 18:40:40 2021 - DEBUG    Diagonal DM:	491.536226
Feb 28 18:40:40 2021 - DEBUG    In 1
Feb 28 18:40:40 2021 - NOTICE   The pipeline has reset all previously requested memory on card 0.
Feb 28 18:40:40 2021 - NOTICE   Calculating strategy.
Feb 28 18:40:40 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 4352
Feb 28 18:40:40 2021 - DEBUG    Range:	0 MAXSHIFT:	12482 Scrunch value:	1
Feb 28 18:40:40 2021 - DEBUG    Maximum dispersive delay:	 1.597696(s).
Feb 28 18:40:40 2021 - DEBUG    Diagonal DM:	491.536226
Feb 28 18:40:40 2021 - DEBUG    In 1
Feb 28 18:40:40 2021 - NOTICE   Neither zero_dm nor zero_dm_with_outliers were selected. Selection OFF.
Feb 28 18:40:40 2021 - NOTICE   ---PIPELINE DIAGNOSTIC INFORMATION---
Feb 28 18:40:40 2021 - DEBUG    CARD INFORMATION:
Feb 28 18:40:40 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 28 18:40:40 2021 - DEBUG    Compute capability:	7.5
Feb 28 18:40:40 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 28 18:40:40 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 28 18:40:40 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 28 18:40:40 2021 - DEBUG    ID # on this machine:	0
Feb 28 18:40:40 2021 - DEBUG    Driver version:		11010
Feb 28 18:40:40 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 28 18:40:40 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 28 18:40:40 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 28 18:40:40 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 28 18:40:40 2021 - DEBUG    FILTERBANK METADATA INFORMATION:
Feb 28 18:40:40 2021 - DEBUG    az_start:		0.000000
Feb 28 18:40:40 2021 - DEBUG    za_start:		0.000000
Feb 28 18:40:40 2021 - DEBUG    src_raj:			0.000000
Feb 28 18:40:40 2021 - DEBUG    src_dej:			0.000000
Feb 28 18:40:40 2021 - DEBUG    tstart:			50000.000000
Feb 28 18:40:40 2021 - DEBUG    tsamp:			0.000128
Feb 28 18:40:40 2021 - DEBUG    refdm:			0.000000
Feb 28 18:40:40 2021 - DEBUG    period:			0.000000
Feb 28 18:40:40 2021 - DEBUG    fch1:			755.000000
Feb 28 18:40:40 2021 - DEBUG    foff:			-0.012207
Feb 28 18:40:40 2021 - DEBUG    fchannel:		0.000000
Feb 28 18:40:40 2021 - DEBUG    telescope_id:		0
Feb 28 18:40:40 2021 - DEBUG    machine_id:		0
Feb 28 18:40:40 2021 - DEBUG    data_type:		0
Feb 28 18:40:40 2021 - DEBUG    barycentric:		0
Feb 28 18:40:40 2021 - DEBUG    pulsarcentric:		0
Feb 28 18:40:40 2021 - DEBUG    nbits:			8
Feb 28 18:40:40 2021 - DEBUG    nsamples:		156250
Feb 28 18:40:40 2021 - DEBUG    nchans:			4096
Feb 28 18:40:40 2021 - DEBUG    nifs:			0
Feb 28 18:40:40 2021 - DEBUG    FREQUENCY_START:		0
Feb 28 18:40:40 2021 - DEBUG    FREQUENCY_END:		0
Feb 28 18:40:40 2021 - DEBUG    rawdatafile:		
Feb 28 18:40:40 2021 - DEBUG    source_name:		
Feb 28 18:40:40 2021 - DEBUG    N:			0
Feb 28 18:40:40 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Feb 28 18:40:40 2021 - DEBUG    Optimization settings:
Feb 28 18:40:40 2021 - DEBUG    		UNROLL:			4
