Jan  5 20:17:24 2021 - NOTICE   Detected 1 CUDA Capable device(s)
Jan  5 20:17:24 2021 - NOTICE   Device info 0 free 11391139840 (GeForce RTX 2080 Ti)
Jan  5 20:17:24 2021 - NOTICE   Checked for devices.
Jan  5 20:17:24 2021 - NOTICE   Application binary compiled for compute capability 75.
Jan  5 20:17:24 2021 - NOTICE   The requested device has capability 75 and the device code was compiled for a compatible architecture for the selected card.
Jan  5 20:17:24 2021 - NOTICE   init_card complete. Selected card 0.
Jan  5 20:17:24 2021 - DEBUG    CARD INFORMATION:
Jan  5 20:17:24 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Jan  5 20:17:24 2021 - DEBUG    Compute capability:	7.5
Jan  5 20:17:24 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Jan  5 20:17:24 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Jan  5 20:17:24 2021 - DEBUG    Memory bus width [bits]:	352.000000
Jan  5 20:17:24 2021 - DEBUG    ID # on this machine:	0
Jan  5 20:17:24 2021 - DEBUG    Driver version:		11010
Jan  5 20:17:24 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Jan  5 20:17:24 2021 - DEBUG    Global memory [bytes]:	11554717696
Jan  5 20:17:24 2021 - DEBUG    Total memory [bytes]:	11554717696
Jan  5 20:17:24 2021 - DEBUG    Free memory [bytes]:	11391139840
Jan  5 20:17:24 2021 - NOTICE   Calculating strategy.
Jan  5 20:17:24 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 2040
Jan  5 20:17:24 2021 - DEBUG    Range:	4 MAXSHIFT:	19824 Scrunch value:	16
Jan  5 20:17:24 2021 - DEBUG    Maximum dispersive delay:	 5.074944(s).
Jan  5 20:17:24 2021 - DEBUG    Diagonal DM:	63.451071
Jan  5 20:17:24 2021 - DEBUG    In 1
Jan  5 20:17:24 2021 - NOTICE   The pipeline has reset all previously requested memory on card 0.
Jan  5 20:17:24 2021 - NOTICE   Calculating strategy.
Jan  5 20:17:24 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 2040
Jan  5 20:17:24 2021 - DEBUG    Range:	4 MAXSHIFT:	19824 Scrunch value:	16
Jan  5 20:17:24 2021 - DEBUG    Maximum dispersive delay:	 5.074944(s).
Jan  5 20:17:24 2021 - DEBUG    Diagonal DM:	63.451071
Jan  5 20:17:24 2021 - DEBUG    In 1
Jan  5 20:17:24 2021 - NOTICE   Neither zero_dm nor zero_dm_with_outliers were selected. Selection OFF.
Jan  5 20:17:24 2021 - NOTICE   ---PIPELINE DIAGNOSTIC INFORMATION---
Jan  5 20:17:24 2021 - DEBUG    CARD INFORMATION:
Jan  5 20:17:24 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Jan  5 20:17:24 2021 - DEBUG    Compute capability:	7.5
Jan  5 20:17:24 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Jan  5 20:17:24 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Jan  5 20:17:24 2021 - DEBUG    Memory bus width [bits]:	352.000000
Jan  5 20:17:24 2021 - DEBUG    ID # on this machine:	0
Jan  5 20:17:24 2021 - DEBUG    Driver version:		11010
Jan  5 20:17:24 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Jan  5 20:17:24 2021 - DEBUG    Global memory [bytes]:	11554717696
Jan  5 20:17:24 2021 - DEBUG    Total memory [bytes]:	11554717696
Jan  5 20:17:24 2021 - DEBUG    Free memory [bytes]:	11391139840
Jan  5 20:17:24 2021 - DEBUG    FILTERBANK METADATA INFORMATION:
Jan  5 20:17:24 2021 - DEBUG    az_start:		0.000000
Jan  5 20:17:24 2021 - DEBUG    za_start:		0.000000
Jan  5 20:17:24 2021 - DEBUG    src_raj:			0.000000
Jan  5 20:17:24 2021 - DEBUG    src_dej:			0.000000
Jan  5 20:17:24 2021 - DEBUG    tstart:			50000.000000
Jan  5 20:17:24 2021 - DEBUG    tsamp:			0.000256
Jan  5 20:17:24 2021 - DEBUG    refdm:			0.000000
Jan  5 20:17:24 2021 - DEBUG    period:			0.000000
Jan  5 20:17:24 2021 - DEBUG    fch1:			1180.000000
Jan  5 20:17:24 2021 - DEBUG    foff:			-0.546875
Jan  5 20:17:24 2021 - DEBUG    fchannel:		0.000000
Jan  5 20:17:24 2021 - DEBUG    telescope_id:		0
Jan  5 20:17:24 2021 - DEBUG    machine_id:		0
Jan  5 20:17:24 2021 - DEBUG    data_type:		0
Jan  5 20:17:24 2021 - DEBUG    barycentric:		0
Jan  5 20:17:24 2021 - DEBUG    pulsarcentric:		0
Jan  5 20:17:24 2021 - DEBUG    nbits:			8
Jan  5 20:17:24 2021 - DEBUG    nsamples:		97656
Jan  5 20:17:24 2021 - DEBUG    nchans:			512
Jan  5 20:17:24 2021 - DEBUG    nifs:			0
Jan  5 20:17:24 2021 - DEBUG    FREQUENCY_START:		0
Jan  5 20:17:24 2021 - DEBUG    FREQUENCY_END:		0
Jan  5 20:17:24 2021 - DEBUG    rawdatafile:		
Jan  5 20:17:24 2021 - DEBUG    source_name:		
Jan  5 20:17:24 2021 - DEBUG    N:			0
Jan  5 20:17:24 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Jan  5 20:17:24 2021 - DEBUG    Optimization settings:
Jan  5 20:17:24 2021 - DEBUG    		UNROLL:			4
Jan  5 20:17:24 2021 - DEBUG    		SNUMREG:		4
Jan  5 20:17:24 2021 - DEBUG    		SDIVINT:		14
Jan  5 20:17:24 2021 - DEBUG    		SDIVINDM:		40
Jan  5 20:17:24 2021 - DEBUG    ddtr+analysis:		false
Jan  5 20:17:24 2021 - DEBUG    ddtr dm ranges:		5
Jan  5 20:17:24 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,224.399994,0.110000,1,1
Jan  5 20:17:24 2021 - DEBUG         dm (low,high,step,inBin,outBin) 224.399994,442.799988,0.910000,2,2
Jan  5 20:17:24 2021 - DEBUG         dm (low,high,step,inBin,outBin) 442.799988,855.599976,0.860000,4,4
Jan  5 20:17:24 2021 - DEBUG         dm (low,high,step,inBin,outBin) 855.599976,1751.599976,3.200000,8,8
Jan  5 20:17:24 2021 - DEBUG         dm (low,high,step,inBin,outBin) 1751.599976,2243.600098,4.100000,16,16
Jan  5 20:17:24 2021 - DEBUG    ddtr max_ndms:		2040
Jan  5 20:17:24 2021 - DEBUG    ddtr ndms elements:
Jan  5 20:17:24 2021 - DEBUG         ndms[0]:		2040
Jan  5 20:17:24 2021 - DEBUG         ndms[1]:		240
Jan  5 20:17:24 2021 - DEBUG         ndms[2]:		480
Jan  5 20:17:24 2021 - DEBUG         ndms[3]:		280
Jan  5 20:17:24 2021 - DEBUG         ndms[4]:		120
Jan  5 20:17:24 2021 - DEBUG    ddtr maxshift:		19824
Jan  5 20:17:24 2021 - DEBUG    ddtr num_tchunks:	1
Jan  5 20:17:24 2021 - DEBUG    ddtr max_ndms:		2040
Jan  5 20:17:24 2021 - DEBUG    t_processed size:	5
Jan  5 20:17:24 2021 - DEBUG    t_processed elements:
Jan  5 20:17:24 2021 - DEBUG         t_processed[0][0]:	77056
Jan  5 20:17:24 2021 - DEBUG         t_processed[1][0]:	38528
Jan  5 20:17:24 2021 - DEBUG         t_processed[2][0]:	19264
Jan  5 20:17:24 2021 - DEBUG         t_processed[3][0]:	9632
Jan  5 20:17:24 2021 - DEBUG         t_processed[4][0]:	4816
Jan  5 20:17:24 2021 - DEBUG    power:			2.000000
Jan  5 20:17:24 2021 - NOTICE   Pipeline is ready.
Jan  5 20:17:24 2021 - NOTICE   Pipeline running over next chunk.
Jan  5 20:17:24 2021 - NOTICE   Pipeline running over next chunk.
Jan  5 20:17:24 2021 - NOTICE   Pipeline running over next chunk.
Jan  5 20:17:24 2021 - NOTICE   Pipeline running over next chunk.
Jan  5 20:17:24 2021 - NOTICE   Pipeline running over next chunk.
Jan  5 20:17:24 2021 - NOTICE   Pipeline running over next chunk.
Jan  5 20:17:24 2021 - DEBUG    DDTR -> Memory cleanup after de-dispersion
Jan  5 20:17:24 2021 - NOTICE   Pipeline running over next chunk.
Jan  5 20:17:24 2021 - DEBUG    ------------------------------------------------------------->
Jan  5 20:17:24 2021 - DEBUG    FAKE SIGNAL INFORMATION:
Jan  5 20:17:24 2021 - DEBUG    DM position of signal:		250.000000
Jan  5 20:17:24 2021 - DEBUG    Signal start at [samples]:	781
Jan  5 20:17:24 2021 - DEBUG    Signal width [samples]:		156
Jan  5 20:17:24 2021 - DEBUG    Signal sigma selected:		0.500000
Jan  5 20:17:24 2021 - DEBUG    Periodicity selected [ms]:	0
Jan  5 20:17:24 2021 - DEBUG    -------------------------------------------------------------<
Jan  5 20:17:24 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Jan  5 20:17:24 2021 - DEBUG    Optimization settings:
Jan  5 20:17:24 2021 - DEBUG    		UNROLL:			4
Jan  5 20:17:24 2021 - DEBUG    		SNUMREG:		4
Jan  5 20:17:24 2021 - DEBUG    		SDIVINT:		14
Jan  5 20:17:24 2021 - DEBUG    		SDIVINDM:		40
Jan  5 20:17:24 2021 - DEBUG    ddtr+analysis:		false
Jan  5 20:17:24 2021 - DEBUG    ddtr dm ranges:		5
Jan  5 20:17:24 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,224.399994,0.110000,1,1
Jan  5 20:17:24 2021 - DEBUG         dm (low,high,step,inBin,outBin) 224.399994,442.799988,0.910000,2,2
