Feb 19 04:42:31 2021 - NOTICE   Detected 1 CUDA Capable device(s)
Feb 19 04:42:31 2021 - NOTICE   Device info 0 free 11391139840 (GeForce RTX 2080 Ti)
Feb 19 04:42:31 2021 - NOTICE   Checked for devices.
Feb 19 04:42:31 2021 - NOTICE   Application binary compiled for compute capability 75.
Feb 19 04:42:31 2021 - NOTICE   The requested device has capability 75 and the device code was compiled for a compatible architecture for the selected card.
Feb 19 04:42:31 2021 - NOTICE   init_card complete. Selected card 0.
Feb 19 04:42:31 2021 - DEBUG    CARD INFORMATION:
Feb 19 04:42:31 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 19 04:42:31 2021 - DEBUG    Compute capability:	7.5
Feb 19 04:42:31 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 19 04:42:31 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 19 04:42:31 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 19 04:42:31 2021 - DEBUG    ID # on this machine:	0
Feb 19 04:42:31 2021 - DEBUG    Driver version:		11010
Feb 19 04:42:31 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 19 04:42:31 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 19 04:42:31 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 19 04:42:31 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 19 04:42:31 2021 - NOTICE   Calculating strategy.
Feb 19 04:42:31 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 1520
Feb 19 04:42:31 2021 - DEBUG    Range:	3 MAXSHIFT:	44736 Scrunch value:	8
Feb 19 04:42:31 2021 - DEBUG    Maximum dispersive delay:	 1.431552(s).
Feb 19 04:42:31 2021 - DEBUG    Diagonal DM:	163.939892
Feb 19 04:42:31 2021 - DEBUG    In 2
Feb 19 04:42:31 2021 - NOTICE   The pipeline has reset all previously requested memory on card 0.
Feb 19 04:42:31 2021 - NOTICE   Calculating strategy.
Feb 19 04:42:31 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 1520
Feb 19 04:42:31 2021 - DEBUG    Range:	3 MAXSHIFT:	44736 Scrunch value:	8
Feb 19 04:42:31 2021 - DEBUG    Maximum dispersive delay:	 1.431552(s).
Feb 19 04:42:31 2021 - DEBUG    Diagonal DM:	163.939892
Feb 19 04:42:31 2021 - DEBUG    In 2
Feb 19 04:42:31 2021 - NOTICE   Neither zero_dm nor zero_dm_with_outliers were selected. Selection OFF.
Feb 19 04:42:31 2021 - NOTICE   ---PIPELINE DIAGNOSTIC INFORMATION---
Feb 19 04:42:31 2021 - DEBUG    CARD INFORMATION:
Feb 19 04:42:31 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 19 04:42:31 2021 - DEBUG    Compute capability:	7.5
Feb 19 04:42:31 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 19 04:42:31 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 19 04:42:31 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 19 04:42:31 2021 - DEBUG    ID # on this machine:	0
Feb 19 04:42:31 2021 - DEBUG    Driver version:		11010
Feb 19 04:42:31 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 19 04:42:31 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 19 04:42:31 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 19 04:42:31 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 19 04:42:31 2021 - DEBUG    FILTERBANK METADATA INFORMATION:
Feb 19 04:42:31 2021 - DEBUG    az_start:		0.000000
Feb 19 04:42:31 2021 - DEBUG    za_start:		0.000000
Feb 19 04:42:31 2021 - DEBUG    src_raj:			0.000000
Feb 19 04:42:31 2021 - DEBUG    src_dej:			0.000000
Feb 19 04:42:31 2021 - DEBUG    tstart:			50000.000000
Feb 19 04:42:31 2021 - DEBUG    tsamp:			0.000032
Feb 19 04:42:31 2021 - DEBUG    refdm:			0.000000
Feb 19 04:42:31 2021 - DEBUG    period:			0.000000
Feb 19 04:42:31 2021 - DEBUG    fch1:			1675.000000
Feb 19 04:42:31 2021 - DEBUG    foff:			-0.092773
Feb 19 04:42:31 2021 - DEBUG    fchannel:		0.000000
Feb 19 04:42:31 2021 - DEBUG    telescope_id:		0
Feb 19 04:42:31 2021 - DEBUG    machine_id:		0
Feb 19 04:42:31 2021 - DEBUG    data_type:		0
Feb 19 04:42:31 2021 - DEBUG    barycentric:		0
Feb 19 04:42:31 2021 - DEBUG    pulsarcentric:		0
Feb 19 04:42:31 2021 - DEBUG    nbits:			8
Feb 19 04:42:31 2021 - DEBUG    nsamples:		625000
Feb 19 04:42:31 2021 - DEBUG    nchans:			2048
Feb 19 04:42:31 2021 - DEBUG    nifs:			0
Feb 19 04:42:31 2021 - DEBUG    FREQUENCY_START:		0
Feb 19 04:42:31 2021 - DEBUG    FREQUENCY_END:		0
Feb 19 04:42:31 2021 - DEBUG    rawdatafile:		
Feb 19 04:42:31 2021 - DEBUG    source_name:		
Feb 19 04:42:31 2021 - DEBUG    N:			0
Feb 19 04:42:31 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Feb 19 04:42:31 2021 - DEBUG    Optimization settings:
Feb 19 04:42:31 2021 - DEBUG    		UNROLL:			4
Feb 19 04:42:31 2021 - DEBUG    		SNUMREG:		4
Feb 19 04:42:31 2021 - DEBUG    		SDIVINT:		24
Feb 19 04:42:31 2021 - DEBUG    		SDIVINDM:		40
Feb 19 04:42:31 2021 - DEBUG    ddtr+analysis:		false
Feb 19 04:42:31 2021 - DEBUG    ddtr dm ranges:		4
Feb 19 04:42:31 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,547.200012,0.360000,1,1
Feb 19 04:42:31 2021 - DEBUG         dm (low,high,step,inBin,outBin) 547.200012,1119.199951,1.100000,2,2
Feb 19 04:42:31 2021 - DEBUG         dm (low,high,step,inBin,outBin) 1119.199951,1983.199951,1.800000,4,4
Feb 19 04:42:31 2021 - DEBUG         dm (low,high,step,inBin,outBin) 1983.199951,3423.199951,3.600000,8,8
Feb 19 04:42:31 2021 - DEBUG    ddtr max_ndms:		1520
Feb 19 04:42:31 2021 - DEBUG    ddtr ndms elements:
Feb 19 04:42:31 2021 - DEBUG         ndms[0]:		1520
Feb 19 04:42:31 2021 - DEBUG         ndms[1]:		520
Feb 19 04:42:31 2021 - DEBUG         ndms[2]:		480
Feb 19 04:42:31 2021 - DEBUG         ndms[3]:		400
Feb 19 04:42:31 2021 - DEBUG    ddtr maxshift:		44736
Feb 19 04:42:31 2021 - DEBUG    ddtr num_tchunks:	1
Feb 19 04:42:31 2021 - DEBUG    ddtr max_ndms:		1520
Feb 19 04:42:31 2021 - DEBUG    t_processed size:	4
Feb 19 04:42:31 2021 - DEBUG    t_processed elements:
Feb 19 04:42:31 2021 - DEBUG         t_processed[0][0]:	579072
Feb 19 04:42:31 2021 - DEBUG         t_processed[1][0]:	289536
Feb 19 04:42:31 2021 - DEBUG         t_processed[2][0]:	144768
Feb 19 04:42:31 2021 - DEBUG         t_processed[3][0]:	72384
Feb 19 04:42:31 2021 - DEBUG    power:			2.000000
Feb 19 04:42:31 2021 - NOTICE   Pipeline is ready.
Feb 19 04:42:31 2021 - NOTICE   Pipeline running over next chunk.
Feb 19 04:42:34 2021 - NOTICE   Pipeline running over next chunk.
Feb 19 04:42:35 2021 - NOTICE   Pipeline running over next chunk.
Feb 19 04:42:35 2021 - NOTICE   Pipeline running over next chunk.
Feb 19 04:42:35 2021 - NOTICE   Pipeline running over next chunk.
Feb 19 04:42:35 2021 - DEBUG    DDTR -> Memory cleanup after de-dispersion
Feb 19 04:42:35 2021 - NOTICE   Pipeline running over next chunk.
Feb 19 04:42:35 2021 - DEBUG    ------------------------------------------------------------->
Feb 19 04:42:35 2021 - DEBUG    FAKE SIGNAL INFORMATION:
