Mar  9 23:37:20 2021 - NOTICE   Detected 1 CUDA Capable device(s)
Mar  9 23:37:20 2021 - NOTICE   Device info 0 free 11391139840 (GeForce RTX 2080 Ti)
Mar  9 23:37:20 2021 - NOTICE   Checked for devices.
Mar  9 23:37:20 2021 - NOTICE   Application binary compiled for compute capability 75.
Mar  9 23:37:20 2021 - NOTICE   The requested device has capability 75 and the device code was compiled for a compatible architecture for the selected card.
Mar  9 23:37:20 2021 - NOTICE   init_card complete. Selected card 0.
Mar  9 23:37:20 2021 - DEBUG    CARD INFORMATION:
Mar  9 23:37:20 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Mar  9 23:37:20 2021 - DEBUG    Compute capability:	7.5
Mar  9 23:37:20 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Mar  9 23:37:20 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Mar  9 23:37:20 2021 - DEBUG    Memory bus width [bits]:	352.000000
Mar  9 23:37:20 2021 - DEBUG    ID # on this machine:	0
Mar  9 23:37:20 2021 - DEBUG    Driver version:		11010
Mar  9 23:37:20 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Mar  9 23:37:20 2021 - DEBUG    Global memory [bytes]:	11554717696
Mar  9 23:37:20 2021 - DEBUG    Total memory [bytes]:	11554717696
Mar  9 23:37:20 2021 - DEBUG    Free memory [bytes]:	11391139840
Mar  9 23:37:20 2021 - NOTICE   Calculating strategy.
Mar  9 23:37:20 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 1510
Mar  9 23:37:20 2021 - DEBUG    Range:	3 MAXSHIFT:	8900 Scrunch value:	8
Mar  9 23:37:20 2021 - DEBUG    Maximum dispersive delay:	 4.556800(s).
Mar  9 23:37:20 2021 - DEBUG    Diagonal DM:	106.245937
Mar  9 23:37:20 2021 - DEBUG    In 1
Mar  9 23:37:20 2021 - NOTICE   The pipeline has reset all previously requested memory on card 0.
Mar  9 23:37:20 2021 - NOTICE   Calculating strategy.
Mar  9 23:37:20 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 1510
Mar  9 23:37:20 2021 - DEBUG    Range:	3 MAXSHIFT:	8900 Scrunch value:	8
Mar  9 23:37:20 2021 - DEBUG    Maximum dispersive delay:	 4.556800(s).
Mar  9 23:37:20 2021 - DEBUG    Diagonal DM:	106.245937
Mar  9 23:37:20 2021 - DEBUG    In 1
Mar  9 23:37:20 2021 - NOTICE   Neither zero_dm nor zero_dm_with_outliers were selected. Selection OFF.
Mar  9 23:37:20 2021 - NOTICE   ---PIPELINE DIAGNOSTIC INFORMATION---
Mar  9 23:37:20 2021 - DEBUG    CARD INFORMATION:
Mar  9 23:37:20 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Mar  9 23:37:20 2021 - DEBUG    Compute capability:	7.5
Mar  9 23:37:20 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Mar  9 23:37:20 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Mar  9 23:37:20 2021 - DEBUG    Memory bus width [bits]:	352.000000
Mar  9 23:37:20 2021 - DEBUG    ID # on this machine:	0
Mar  9 23:37:20 2021 - DEBUG    Driver version:		11010
Mar  9 23:37:20 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Mar  9 23:37:20 2021 - DEBUG    Global memory [bytes]:	11554717696
Mar  9 23:37:20 2021 - DEBUG    Total memory [bytes]:	11554717696
Mar  9 23:37:20 2021 - DEBUG    Free memory [bytes]:	11391139840
Mar  9 23:37:20 2021 - DEBUG    FILTERBANK METADATA INFORMATION:
Mar  9 23:37:20 2021 - DEBUG    az_start:		0.000000
Mar  9 23:37:20 2021 - DEBUG    za_start:		0.000000
Mar  9 23:37:20 2021 - DEBUG    src_raj:			0.000000
Mar  9 23:37:20 2021 - DEBUG    src_dej:			0.000000
Mar  9 23:37:20 2021 - DEBUG    tstart:			50000.000000
Mar  9 23:37:20 2021 - DEBUG    tsamp:			0.000512
Mar  9 23:37:20 2021 - DEBUG    refdm:			0.000000
Mar  9 23:37:20 2021 - DEBUG    period:			0.000000
Mar  9 23:37:20 2021 - DEBUG    fch1:			915.000000
Mar  9 23:37:20 2021 - DEBUG    foff:			-0.332031
Mar  9 23:37:20 2021 - DEBUG    fchannel:		0.000000
Mar  9 23:37:20 2021 - DEBUG    telescope_id:		0
Mar  9 23:37:20 2021 - DEBUG    machine_id:		0
Mar  9 23:37:20 2021 - DEBUG    data_type:		0
Mar  9 23:37:20 2021 - DEBUG    barycentric:		0
Mar  9 23:37:20 2021 - DEBUG    pulsarcentric:		0
Mar  9 23:37:20 2021 - DEBUG    nbits:			8
Mar  9 23:37:20 2021 - DEBUG    nsamples:		39062
Mar  9 23:37:20 2021 - DEBUG    nchans:			512
Mar  9 23:37:20 2021 - DEBUG    nifs:			0
Mar  9 23:37:20 2021 - DEBUG    FREQUENCY_START:		0
Mar  9 23:37:20 2021 - DEBUG    FREQUENCY_END:		0
Mar  9 23:37:20 2021 - DEBUG    rawdatafile:		
Mar  9 23:37:20 2021 - DEBUG    source_name:		
Mar  9 23:37:20 2021 - DEBUG    N:			0
Mar  9 23:37:20 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Mar  9 23:37:20 2021 - DEBUG    Optimization settings:
Mar  9 23:37:20 2021 - DEBUG    		UNROLL:			4
Mar  9 23:37:20 2021 - DEBUG    		SNUMREG:		2
Mar  9 23:37:20 2021 - DEBUG    		SDIVINT:		25
Mar  9 23:37:20 2021 - DEBUG    		SDIVINDM:		10
Mar  9 23:37:20 2021 - DEBUG    ddtr+analysis:		false
Mar  9 23:37:20 2021 - DEBUG    ddtr dm ranges:		4
Mar  9 23:37:20 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,362.399994,0.240000,1,1
Mar  9 23:37:20 2021 - DEBUG         dm (low,high,step,inBin,outBin) 362.399994,582.400024,0.400000,2,2
Mar  9 23:37:20 2021 - DEBUG         dm (low,high,step,inBin,outBin) 582.400024,1118.400024,0.800000,4,4
Mar  9 23:37:20 2021 - DEBUG         dm (low,high,step,inBin,outBin) 1118.400024,1694.400024,2.400000,8,8
Mar  9 23:37:20 2021 - DEBUG    ddtr max_ndms:		1510
Mar  9 23:37:20 2021 - DEBUG    ddtr ndms elements:
Mar  9 23:37:20 2021 - DEBUG         ndms[0]:		1510
Mar  9 23:37:20 2021 - DEBUG         ndms[1]:		550
Mar  9 23:37:20 2021 - DEBUG         ndms[2]:		670
Mar  9 23:37:20 2021 - DEBUG         ndms[3]:		240
Mar  9 23:37:20 2021 - DEBUG    ddtr maxshift:		8900
Mar  9 23:37:20 2021 - DEBUG    ddtr num_tchunks:	1
Mar  9 23:37:20 2021 - DEBUG    ddtr max_ndms:		1510
Mar  9 23:37:20 2021 - DEBUG    t_processed size:	4
Mar  9 23:37:20 2021 - DEBUG    t_processed elements:
Mar  9 23:37:20 2021 - DEBUG         t_processed[0][0]:	29600
Mar  9 23:37:20 2021 - DEBUG         t_processed[1][0]:	14800
Mar  9 23:37:20 2021 - DEBUG         t_processed[2][0]:	7400
Mar  9 23:37:20 2021 - DEBUG         t_processed[3][0]:	3700
Mar  9 23:37:20 2021 - DEBUG    power:			2.000000
Mar  9 23:37:20 2021 - NOTICE   Pipeline is ready.
Mar  9 23:37:20 2021 - NOTICE   Pipeline running over next chunk.
Mar  9 23:37:20 2021 - NOTICE   Pipeline running over next chunk.
Mar  9 23:37:20 2021 - NOTICE   Pipeline running over next chunk.
Mar  9 23:37:20 2021 - NOTICE   Pipeline running over next chunk.
Mar  9 23:37:20 2021 - NOTICE   Pipeline running over next chunk.
Mar  9 23:37:20 2021 - DEBUG    DDTR -> Memory cleanup after de-dispersion
Mar  9 23:37:20 2021 - NOTICE   Pipeline running over next chunk.
Mar  9 23:37:20 2021 - DEBUG    ------------------------------------------------------------->
Mar  9 23:37:20 2021 - DEBUG    FAKE SIGNAL INFORMATION:
Mar  9 23:37:20 2021 - DEBUG    DM position of signal:		250.000000
Mar  9 23:37:20 2021 - DEBUG    Signal start at [samples]:	390
Mar  9 23:37:20 2021 - DEBUG    Signal width [samples]:		78
Mar  9 23:37:20 2021 - DEBUG    Signal sigma selected:		0.500000
Mar  9 23:37:20 2021 - DEBUG    Periodicity selected [ms]:	0
Mar  9 23:37:20 2021 - DEBUG    -------------------------------------------------------------<
Mar  9 23:37:20 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Mar  9 23:37:20 2021 - DEBUG    Optimization settings:
Mar  9 23:37:20 2021 - DEBUG    		UNROLL:			4
Mar  9 23:37:20 2021 - DEBUG    		SNUMREG:		2
Mar  9 23:37:20 2021 - DEBUG    		SDIVINT:		25
Mar  9 23:37:20 2021 - DEBUG    		SDIVINDM:		10
Mar  9 23:37:20 2021 - DEBUG    ddtr+analysis:		false
Mar  9 23:37:20 2021 - DEBUG    ddtr dm ranges:		4
Mar  9 23:37:20 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,362.399994,0.240000,1,1
Mar  9 23:37:20 2021 - DEBUG         dm (low,high,step,inBin,outBin) 362.399994,582.400024,0.400000,2,2
Mar  9 23:37:20 2021 - DEBUG         dm (low,high,step,inBin,outBin) 582.400024,1118.400024,0.800000,4,4
Mar  9 23:37:20 2021 - DEBUG         dm (low,high,step,inBin,outBin) 1118.400024,1694.400024,2.400000,8,8
Mar  9 23:37:20 2021 - DEBUG    ddtr max_ndms:		1510
Mar  9 23:37:20 2021 - DEBUG    ddtr ndms elements:
Mar  9 23:37:20 2021 - DEBUG         ndms[0]:		1510
Mar  9 23:37:20 2021 - DEBUG         ndms[1]:		550
Mar  9 23:37:20 2021 - DEBUG         ndms[2]:		670
Mar  9 23:37:20 2021 - DEBUG         ndms[3]:		240
Mar  9 23:37:20 2021 - DEBUG    ddtr maxshift:		8900
Mar  9 23:37:20 2021 - DEBUG    ddtr num_tchunks:	1
Mar  9 23:37:20 2021 - DEBUG    ddtr max_ndms:		1510
Mar  9 23:37:20 2021 - DEBUG    t_processed size:	4
Mar  9 23:37:20 2021 - DEBUG    t_processed elements:
Mar  9 23:37:20 2021 - DEBUG         t_processed[0][0]:	29600
Mar  9 23:37:20 2021 - DEBUG         t_processed[1][0]:	14800
Mar  9 23:37:20 2021 - DEBUG         t_processed[2][0]:	7400
Mar  9 23:37:20 2021 - DEBUG         t_processed[3][0]:	3700
Mar  9 23:37:20 2021 - DEBUG    power:			2.000000
Mar  9 23:37:20 2021 - NOTICE   Finished. 1
Mar  9 23:37:20 2021 - NOTICE   ----------------------------------------------------------------------------------------------------------
Mar  9 23:37:20 2021 - DEBUG    Generic Pipeline -> Memory cleanup at the end of the pipeline
Mar  9 23:37:20 2021 - NOTICE   --------------------------------------------------------------
Mar  9 23:37:20 2021 - NOTICE   Summary of the times for each component and subcomponent [ms]:
Mar  9 23:37:20 2021 - NOTICE   	DDTR Binning 	1.603328
Mar  9 23:37:20 2021 - NOTICE   	DDTR Corner_Turn 	0.862880
Mar  9 23:37:20 2021 - NOTICE   	DDTR Dedispersion 	42.039521
Mar  9 23:37:20 2021 - NOTICE   	DDTR Host_To_Device 	26.005472
Mar  9 23:37:20 2021 - NOTICE   	DDTR total 	70.657665
Mar  9 23:37:20 2021 - NOTICE   	Total total 	70.774780
Mar  9 23:37:20 2021 - NOTICE   	Processed telescope time:	15155.200005
Mar  9 23:37:20 2021 - NOTICE    
Mar  9 23:37:20 2021 - NOTICE   	Real-time speed-up factor:	214.132774
Mar  9 23:37:20 2021 - NOTICE   --------------------------------------------------------------
Mar  9 23:37:20 2021 - NOTICE   Detected 1 CUDA Capable device(s)
Mar  9 23:37:20 2021 - NOTICE   Device info 0 free 11386945536 (GeForce RTX 2080 Ti)
Mar  9 23:37:20 2021 - NOTICE   Checked for devices.
Mar  9 23:37:20 2021 - NOTICE   Application binary compiled for compute capability 75.
Mar  9 23:37:20 2021 - NOTICE   The requested device has capability 75 and the device code was compiled for a compatible architecture for the selected card.
Mar  9 23:37:20 2021 - NOTICE   init_card complete. Selected card 0.
Mar  9 23:37:20 2021 - DEBUG    CARD INFORMATION:
Mar  9 23:37:20 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Mar  9 23:37:20 2021 - DEBUG    Compute capability:	7.5
Mar  9 23:37:20 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Mar  9 23:37:20 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Mar  9 23:37:20 2021 - DEBUG    Memory bus width [bits]:	352.000000
Mar  9 23:37:20 2021 - DEBUG    ID # on this machine:	0
Mar  9 23:37:20 2021 - DEBUG    Driver version:		11010
Mar  9 23:37:20 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Mar  9 23:37:20 2021 - DEBUG    Global memory [bytes]:	11554717696
Mar  9 23:37:20 2021 - DEBUG    Total memory [bytes]:	11554717696
Mar  9 23:37:20 2021 - DEBUG    Free memory [bytes]:	11386945536
Mar  9 23:37:20 2021 - NOTICE   Calculating strategy.
Mar  9 23:37:20 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 8890
Mar  9 23:37:20 2021 - DEBUG    Range:	1 MAXSHIFT:	7300 Scrunch value:	2
Mar  9 23:37:20 2021 - DEBUG    Maximum dispersive delay:	 3.737600(s).
Mar  9 23:37:20 2021 - DEBUG    Diagonal DM:	851.450884
Mar  9 23:37:20 2021 - DEBUG    In 1
Mar  9 23:37:20 2021 - NOTICE   The pipeline has reset all previously requested memory on card 0.
Mar  9 23:37:20 2021 - NOTICE   Calculating strategy.
Mar  9 23:37:20 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 8890
Mar  9 23:37:20 2021 - DEBUG    Range:	1 MAXSHIFT:	7300 Scrunch value:	2
Mar  9 23:37:20 2021 - DEBUG    Maximum dispersive delay:	 3.737600(s).
Mar  9 23:37:20 2021 - DEBUG    Diagonal DM:	851.450884
Mar  9 23:37:20 2021 - DEBUG    In 1
Mar  9 23:37:20 2021 - NOTICE   Neither zero_dm nor zero_dm_with_outliers were selected. Selection OFF.
Mar  9 23:37:20 2021 - NOTICE   ---PIPELINE DIAGNOSTIC INFORMATION---
Mar  9 23:37:20 2021 - DEBUG    CARD INFORMATION:
Mar  9 23:37:20 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Mar  9 23:37:20 2021 - DEBUG    Compute capability:	7.5
Mar  9 23:37:20 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Mar  9 23:37:20 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Mar  9 23:37:20 2021 - DEBUG    Memory bus width [bits]:	352.000000
Mar  9 23:37:20 2021 - DEBUG    ID # on this machine:	0
Mar  9 23:37:20 2021 - DEBUG    Driver version:		11010
Mar  9 23:37:20 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Mar  9 23:37:20 2021 - DEBUG    Global memory [bytes]:	11554717696
Mar  9 23:37:20 2021 - DEBUG    Total memory [bytes]:	11554717696
Mar  9 23:37:20 2021 - DEBUG    Free memory [bytes]:	11386945536
Mar  9 23:37:20 2021 - DEBUG    FILTERBANK METADATA INFORMATION:
Mar  9 23:37:20 2021 - DEBUG    az_start:		0.000000
Mar  9 23:37:20 2021 - DEBUG    za_start:		0.000000
Mar  9 23:37:20 2021 - DEBUG    src_raj:			0.000000
Mar  9 23:37:20 2021 - DEBUG    src_dej:			0.000000
Mar  9 23:37:20 2021 - DEBUG    tstart:			50000.000000
Mar  9 23:37:20 2021 - DEBUG    tsamp:			0.000512
Mar  9 23:37:20 2021 - DEBUG    refdm:			0.000000
Mar  9 23:37:20 2021 - DEBUG    period:			0.000000
Mar  9 23:37:20 2021 - DEBUG    fch1:			1575.000000
Mar  9 23:37:20 2021 - DEBUG    foff:			-0.190430
Mar  9 23:37:20 2021 - DEBUG    fchannel:		0.000000
Mar  9 23:37:20 2021 - DEBUG    telescope_id:		0
Mar  9 23:37:20 2021 - DEBUG    machine_id:		0
Mar  9 23:37:20 2021 - DEBUG    data_type:		0
Mar  9 23:37:20 2021 - DEBUG    barycentric:		0
Mar  9 23:37:20 2021 - DEBUG    pulsarcentric:		0
Mar  9 23:37:20 2021 - DEBUG    nbits:			8
Mar  9 23:37:20 2021 - DEBUG    nsamples:		39062
Mar  9 23:37:20 2021 - DEBUG    nchans:			2048
Mar  9 23:37:20 2021 - DEBUG    nifs:			0
Mar  9 23:37:20 2021 - DEBUG    FREQUENCY_START:		0
Mar  9 23:37:20 2021 - DEBUG    FREQUENCY_END:		0
Mar  9 23:37:20 2021 - DEBUG    rawdatafile:		
Mar  9 23:37:20 2021 - DEBUG    source_name:		
Mar  9 23:37:20 2021 - DEBUG    N:			0
Mar  9 23:37:20 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Mar  9 23:37:20 2021 - DEBUG    Optimization settings:
