Feb 14 12:04:56 2021 - NOTICE   Detected 1 CUDA Capable device(s)
Feb 14 12:04:56 2021 - NOTICE   Device info 0 free 11391139840 (GeForce RTX 2080 Ti)
Feb 14 12:04:56 2021 - NOTICE   Checked for devices.
Feb 14 12:04:56 2021 - NOTICE   Application binary compiled for compute capability 75.
Feb 14 12:04:56 2021 - NOTICE   The requested device has capability 75 and the device code was compiled for a compatible architecture for the selected card.
Feb 14 12:04:56 2021 - NOTICE   init_card complete. Selected card 0.
Feb 14 12:04:56 2021 - DEBUG    CARD INFORMATION:
Feb 14 12:04:56 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 14 12:04:56 2021 - DEBUG    Compute capability:	7.5
Feb 14 12:04:56 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 14 12:04:56 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 14 12:04:56 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 14 12:04:56 2021 - DEBUG    ID # on this machine:	0
Feb 14 12:04:56 2021 - DEBUG    Driver version:		11010
Feb 14 12:04:56 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 14 12:04:56 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 14 12:04:56 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 14 12:04:56 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 14 12:04:56 2021 - NOTICE   Calculating strategy.
Feb 14 12:04:56 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 980
Feb 14 12:04:56 2021 - DEBUG    Range:	0 MAXSHIFT:	5121 Scrunch value:	1
Feb 14 12:04:56 2021 - DEBUG    Maximum dispersive delay:	 5.243904(s).
Feb 14 12:04:56 2021 - DEBUG    Diagonal DM:	1064.629149
Feb 14 12:04:56 2021 - DEBUG    In 2
Feb 14 12:04:56 2021 - NOTICE   The pipeline has reset all previously requested memory on card 0.
Feb 14 12:04:56 2021 - NOTICE   Calculating strategy.
Feb 14 12:04:56 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 980
Feb 14 12:04:56 2021 - DEBUG    Range:	0 MAXSHIFT:	5121 Scrunch value:	1
Feb 14 12:04:56 2021 - DEBUG    Maximum dispersive delay:	 5.243904(s).
Feb 14 12:04:56 2021 - DEBUG    Diagonal DM:	1064.629149
Feb 14 12:04:56 2021 - DEBUG    In 2
Feb 14 12:04:56 2021 - NOTICE   Neither zero_dm nor zero_dm_with_outliers were selected. Selection OFF.
Feb 14 12:04:56 2021 - NOTICE   ---PIPELINE DIAGNOSTIC INFORMATION---
Feb 14 12:04:56 2021 - DEBUG    CARD INFORMATION:
Feb 14 12:04:56 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 14 12:04:56 2021 - DEBUG    Compute capability:	7.5
Feb 14 12:04:56 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 14 12:04:56 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 14 12:04:56 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 14 12:04:56 2021 - DEBUG    ID # on this machine:	0
Feb 14 12:04:56 2021 - DEBUG    Driver version:		11010
Feb 14 12:04:56 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 14 12:04:56 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 14 12:04:56 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 14 12:04:56 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 14 12:04:56 2021 - DEBUG    FILTERBANK METADATA INFORMATION:
Feb 14 12:04:56 2021 - DEBUG    az_start:		0.000000
Feb 14 12:04:56 2021 - DEBUG    za_start:		0.000000
Feb 14 12:04:56 2021 - DEBUG    src_raj:			0.000000
Feb 14 12:04:56 2021 - DEBUG    src_dej:			0.000000
Feb 14 12:04:56 2021 - DEBUG    tstart:			50000.000000
Feb 14 12:04:56 2021 - DEBUG    tsamp:			0.001024
Feb 14 12:04:56 2021 - DEBUG    refdm:			0.000000
Feb 14 12:04:56 2021 - DEBUG    period:			0.000000
Feb 14 12:04:56 2021 - DEBUG    fch1:			1375.000000
Feb 14 12:04:56 2021 - DEBUG    foff:			-0.190430
Feb 14 12:04:56 2021 - DEBUG    fchannel:		0.000000
Feb 14 12:04:56 2021 - DEBUG    telescope_id:		0
Feb 14 12:04:56 2021 - DEBUG    machine_id:		0
Feb 14 12:04:56 2021 - DEBUG    data_type:		0
Feb 14 12:04:56 2021 - DEBUG    barycentric:		0
Feb 14 12:04:56 2021 - DEBUG    pulsarcentric:		0
Feb 14 12:04:56 2021 - DEBUG    nbits:			8
Feb 14 12:04:56 2021 - DEBUG    nsamples:		19531
Feb 14 12:04:56 2021 - DEBUG    nchans:			2048
Feb 14 12:04:56 2021 - DEBUG    nifs:			0
Feb 14 12:04:56 2021 - DEBUG    FREQUENCY_START:		0
Feb 14 12:04:56 2021 - DEBUG    FREQUENCY_END:		0
Feb 14 12:04:56 2021 - DEBUG    rawdatafile:		
