Feb 21 22:45:31 2021 - NOTICE   Detected 1 CUDA Capable device(s)
Feb 21 22:45:31 2021 - NOTICE   Device info 0 free 11391139840 (GeForce RTX 2080 Ti)
Feb 21 22:45:31 2021 - NOTICE   Checked for devices.
Feb 21 22:45:31 2021 - NOTICE   Application binary compiled for compute capability 75.
Feb 21 22:45:31 2021 - NOTICE   The requested device has capability 75 and the device code was compiled for a compatible architecture for the selected card.
Feb 21 22:45:31 2021 - NOTICE   init_card complete. Selected card 0.
Feb 21 22:45:31 2021 - DEBUG    CARD INFORMATION:
Feb 21 22:45:31 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 21 22:45:31 2021 - DEBUG    Compute capability:	7.5
Feb 21 22:45:31 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 21 22:45:31 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 21 22:45:31 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 21 22:45:31 2021 - DEBUG    ID # on this machine:	0
Feb 21 22:45:31 2021 - DEBUG    Driver version:		11010
Feb 21 22:45:31 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 21 22:45:31 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 21 22:45:31 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 21 22:45:31 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 21 22:45:31 2021 - NOTICE   Calculating strategy.
Feb 21 22:45:31 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 216
Feb 21 22:45:31 2021 - DEBUG    Range:	5 MAXSHIFT:	43232 Scrunch value:	32
Feb 21 22:45:31 2021 - DEBUG    Maximum dispersive delay:	 2.766848(s).
Feb 21 22:45:31 2021 - DEBUG    Diagonal DM:	45.480395
Feb 21 22:45:31 2021 - DEBUG    In 2
Feb 21 22:45:31 2021 - NOTICE   The pipeline has reset all previously requested memory on card 0.
Feb 21 22:45:31 2021 - NOTICE   Calculating strategy.
Feb 21 22:45:31 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 216
Feb 21 22:45:31 2021 - DEBUG    Range:	5 MAXSHIFT:	43232 Scrunch value:	32
Feb 21 22:45:31 2021 - DEBUG    Maximum dispersive delay:	 2.766848(s).
Feb 21 22:45:31 2021 - DEBUG    Diagonal DM:	45.480395
Feb 21 22:45:31 2021 - DEBUG    In 2
Feb 21 22:45:31 2021 - NOTICE   Neither zero_dm nor zero_dm_with_outliers were selected. Selection OFF.
Feb 21 22:45:31 2021 - NOTICE   ---PIPELINE DIAGNOSTIC INFORMATION---
Feb 21 22:45:31 2021 - DEBUG    CARD INFORMATION:
Feb 21 22:45:31 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 21 22:45:31 2021 - DEBUG    Compute capability:	7.5
Feb 21 22:45:31 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 21 22:45:31 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 21 22:45:31 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 21 22:45:31 2021 - DEBUG    ID # on this machine:	0
Feb 21 22:45:31 2021 - DEBUG    Driver version:		11010
Feb 21 22:45:31 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 21 22:45:31 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 21 22:45:31 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 21 22:45:31 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 21 22:45:31 2021 - DEBUG    FILTERBANK METADATA INFORMATION:
Feb 21 22:45:31 2021 - DEBUG    az_start:		0.000000
Feb 21 22:45:31 2021 - DEBUG    za_start:		0.000000
Feb 21 22:45:31 2021 - DEBUG    src_raj:			0.000000
Feb 21 22:45:31 2021 - DEBUG    src_dej:			0.000000
Feb 21 22:45:31 2021 - DEBUG    tstart:			50000.000000
Feb 21 22:45:31 2021 - DEBUG    tsamp:			0.000064
Feb 21 22:45:31 2021 - DEBUG    refdm:			0.000000
Feb 21 22:45:31 2021 - DEBUG    period:			0.000000
Feb 21 22:45:31 2021 - DEBUG    fch1:			1845.000000
Feb 21 22:45:31 2021 - DEBUG    foff:			-0.761719
Feb 21 22:45:31 2021 - DEBUG    fchannel:		0.000000
Feb 21 22:45:31 2021 - DEBUG    telescope_id:		0
Feb 21 22:45:31 2021 - DEBUG    machine_id:		0
Feb 21 22:45:31 2021 - DEBUG    data_type:		0
Feb 21 22:45:31 2021 - DEBUG    barycentric:		0
Feb 21 22:45:31 2021 - DEBUG    pulsarcentric:		0
Feb 21 22:45:31 2021 - DEBUG    nbits:			8
Feb 21 22:45:31 2021 - DEBUG    nsamples:		312500
Feb 21 22:45:31 2021 - DEBUG    nchans:			512
Feb 21 22:45:31 2021 - DEBUG    nifs:			0
Feb 21 22:45:31 2021 - DEBUG    FREQUENCY_START:		0
Feb 21 22:45:31 2021 - DEBUG    FREQUENCY_END:		0
Feb 21 22:45:31 2021 - DEBUG    rawdatafile:		
Feb 21 22:45:31 2021 - DEBUG    source_name:		
Feb 21 22:45:31 2021 - DEBUG    N:			0
Feb 21 22:45:31 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Feb 21 22:45:31 2021 - DEBUG    Optimization settings:
Feb 21 22:45:31 2021 - DEBUG    		UNROLL:			4
Feb 21 22:45:31 2021 - DEBUG    		SNUMREG:		4
Feb 21 22:45:31 2021 - DEBUG    		SDIVINT:		28
Feb 21 22:45:31 2021 - DEBUG    		SDIVINDM:		24
Feb 21 22:45:31 2021 - DEBUG    ddtr+analysis:		false
Feb 21 22:45:31 2021 - DEBUG    ddtr dm ranges:		6
Feb 21 22:45:31 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,185.760010,0.860000,1,1
Feb 21 22:45:31 2021 - DEBUG         dm (low,high,step,inBin,outBin) 185.760010,310.559998,1.300000,2,2
Feb 21 22:45:31 2021 - DEBUG         dm (low,high,step,inBin,outBin) 310.559998,562.559998,2.100000,4,4
Feb 21 22:45:31 2021 - DEBUG         dm (low,high,step,inBin,outBin) 562.559998,1078.560059,4.300000,8,8
Feb 21 22:45:31 2021 - DEBUG         dm (low,high,step,inBin,outBin) 1078.560059,2638.560059,13.000000,16,16
Feb 21 22:45:31 2021 - DEBUG         dm (low,high,step,inBin,outBin) 2638.560059,3646.560059,21.000000,32,32
Feb 21 22:45:31 2021 - DEBUG    ddtr max_ndms:		216
Feb 21 22:45:31 2021 - DEBUG    ddtr ndms elements:
Feb 21 22:45:31 2021 - DEBUG         ndms[0]:		216
Feb 21 22:45:31 2021 - DEBUG         ndms[1]:		96
Feb 21 22:45:31 2021 - DEBUG         ndms[2]:		120
Feb 21 22:45:31 2021 - DEBUG         ndms[3]:		120
Feb 21 22:45:31 2021 - DEBUG         ndms[4]:		120
Feb 21 22:45:31 2021 - DEBUG         ndms[5]:		48
Feb 21 22:45:31 2021 - DEBUG    ddtr maxshift:		43232
Feb 21 22:45:31 2021 - DEBUG    ddtr num_tchunks:	1
Feb 21 22:45:31 2021 - DEBUG    ddtr max_ndms:		216
Feb 21 22:45:31 2021 - DEBUG    t_processed size:	6
Feb 21 22:45:31 2021 - DEBUG    t_processed elements:
Feb 21 22:45:31 2021 - DEBUG         t_processed[0][0]:	265216
Feb 21 22:45:31 2021 - DEBUG         t_processed[1][0]:	132608
Feb 21 22:45:31 2021 - DEBUG         t_processed[2][0]:	66304
Feb 21 22:45:31 2021 - DEBUG         t_processed[3][0]:	33152
Feb 21 22:45:31 2021 - DEBUG         t_processed[4][0]:	16576
Feb 21 22:45:31 2021 - DEBUG         t_processed[5][0]:	8288
Feb 21 22:45:31 2021 - DEBUG    power:			2.000000
Feb 21 22:45:31 2021 - NOTICE   Pipeline is ready.
Feb 21 22:45:31 2021 - NOTICE   Pipeline running over next chunk.
Feb 21 22:45:31 2021 - NOTICE   Pipeline running over next chunk.
Feb 21 22:45:31 2021 - NOTICE   Pipeline running over next chunk.
Feb 21 22:45:31 2021 - NOTICE   Pipeline running over next chunk.
Feb 21 22:45:31 2021 - NOTICE   Pipeline running over next chunk.
Feb 21 22:45:31 2021 - NOTICE   Pipeline running over next chunk.
Feb 21 22:45:31 2021 - NOTICE   Pipeline running over next chunk.
Feb 21 22:45:31 2021 - DEBUG    DDTR -> Memory cleanup after de-dispersion
