Feb 18 23:00:35 2021 - NOTICE   Detected 1 CUDA Capable device(s)
Feb 18 23:00:35 2021 - NOTICE   Device info 0 free 11391139840 (GeForce RTX 2080 Ti)
Feb 18 23:00:35 2021 - NOTICE   Checked for devices.
Feb 18 23:00:35 2021 - NOTICE   Application binary compiled for compute capability 75.
Feb 18 23:00:35 2021 - NOTICE   The requested device has capability 75 and the device code was compiled for a compatible architecture for the selected card.
Feb 18 23:00:35 2021 - NOTICE   init_card complete. Selected card 0.
Feb 18 23:00:35 2021 - DEBUG    CARD INFORMATION:
Feb 18 23:00:35 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 18 23:00:35 2021 - DEBUG    Compute capability:	7.5
Feb 18 23:00:35 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 18 23:00:35 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 18 23:00:35 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 18 23:00:35 2021 - DEBUG    ID # on this machine:	0
Feb 18 23:00:35 2021 - DEBUG    Driver version:		11010
Feb 18 23:00:35 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 18 23:00:35 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 18 23:00:35 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 18 23:00:35 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 18 23:00:35 2021 - NOTICE   Calculating strategy.
Feb 18 23:00:35 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 1024
Feb 18 23:00:35 2021 - DEBUG    Range:	5 MAXSHIFT:	46200 Scrunch value:	32
Feb 18 23:00:35 2021 - DEBUG    Maximum dispersive delay:	 2.956800(s).
Feb 18 23:00:35 2021 - DEBUG    Diagonal DM:	34.950983
Feb 18 23:00:35 2021 - DEBUG    In 1
Feb 18 23:00:35 2021 - NOTICE   The pipeline has reset all previously requested memory on card 0.
Feb 18 23:00:35 2021 - NOTICE   Calculating strategy.
Feb 18 23:00:35 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 1024
Feb 18 23:00:35 2021 - DEBUG    Range:	5 MAXSHIFT:	46200 Scrunch value:	32
Feb 18 23:00:35 2021 - DEBUG    Maximum dispersive delay:	 2.956800(s).
Feb 18 23:00:35 2021 - DEBUG    Diagonal DM:	34.950983
Feb 18 23:00:35 2021 - DEBUG    In 1
Feb 18 23:00:35 2021 - NOTICE   Neither zero_dm nor zero_dm_with_outliers were selected. Selection OFF.
Feb 18 23:00:35 2021 - NOTICE   ---PIPELINE DIAGNOSTIC INFORMATION---
Feb 18 23:00:35 2021 - DEBUG    CARD INFORMATION:
Feb 18 23:00:35 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 18 23:00:35 2021 - DEBUG    Compute capability:	7.5
Feb 18 23:00:35 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 18 23:00:35 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 18 23:00:35 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 18 23:00:35 2021 - DEBUG    ID # on this machine:	0
Feb 18 23:00:35 2021 - DEBUG    Driver version:		11010
Feb 18 23:00:35 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 18 23:00:35 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 18 23:00:35 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 18 23:00:35 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 18 23:00:35 2021 - DEBUG    FILTERBANK METADATA INFORMATION:
Feb 18 23:00:35 2021 - DEBUG    az_start:		0.000000
Feb 18 23:00:35 2021 - DEBUG    za_start:		0.000000
Feb 18 23:00:35 2021 - DEBUG    src_raj:			0.000000
Feb 18 23:00:35 2021 - DEBUG    src_dej:			0.000000
Feb 18 23:00:35 2021 - DEBUG    tstart:			50000.000000
Feb 18 23:00:35 2021 - DEBUG    tsamp:			0.000064
Feb 18 23:00:35 2021 - DEBUG    refdm:			0.000000
Feb 18 23:00:35 2021 - DEBUG    period:			0.000000
Feb 18 23:00:35 2021 - DEBUG    fch1:			1555.000000
Feb 18 23:00:35 2021 - DEBUG    foff:			-0.605469
Feb 18 23:00:35 2021 - DEBUG    fchannel:		0.000000
Feb 18 23:00:35 2021 - DEBUG    telescope_id:		0
Feb 18 23:00:35 2021 - DEBUG    machine_id:		0
Feb 18 23:00:35 2021 - DEBUG    data_type:		0
Feb 18 23:00:35 2021 - DEBUG    barycentric:		0
Feb 18 23:00:35 2021 - DEBUG    pulsarcentric:		0
Feb 18 23:00:35 2021 - DEBUG    nbits:			8
Feb 18 23:00:35 2021 - DEBUG    nsamples:		312500
Feb 18 23:00:35 2021 - DEBUG    nchans:			512
Feb 18 23:00:35 2021 - DEBUG    nifs:			0
Feb 18 23:00:35 2021 - DEBUG    FREQUENCY_START:		0
Feb 18 23:00:35 2021 - DEBUG    FREQUENCY_END:		0
Feb 18 23:00:35 2021 - DEBUG    rawdatafile:		
Feb 18 23:00:35 2021 - DEBUG    source_name:		
Feb 18 23:00:35 2021 - DEBUG    N:			0
Feb 18 23:00:35 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Feb 18 23:00:35 2021 - DEBUG    Optimization settings:
Feb 18 23:00:35 2021 - DEBUG    		UNROLL:			4
Feb 18 23:00:35 2021 - DEBUG    		SNUMREG:		2
Feb 18 23:00:35 2021 - DEBUG    		SDIVINT:		30
Feb 18 23:00:35 2021 - DEBUG    		SDIVINDM:		32
Feb 18 23:00:35 2021 - DEBUG    ddtr+analysis:		false
Feb 18 23:00:35 2021 - DEBUG    ddtr dm ranges:		6
Feb 18 23:00:35 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,122.879997,0.120000,1,1
Feb 18 23:00:35 2021 - DEBUG         dm (low,high,step,inBin,outBin) 122.879997,257.279999,0.350000,2,2
Feb 18 23:00:35 2021 - DEBUG         dm (low,high,step,inBin,outBin) 257.279999,461.440002,0.580000,4,4
Feb 18 23:00:35 2021 - DEBUG         dm (low,high,step,inBin,outBin) 461.440002,922.239990,1.200000,8,8
Feb 18 23:00:35 2021 - DEBUG         dm (low,high,step,inBin,outBin) 922.239990,1805.439941,2.300000,16,16
Feb 18 23:00:35 2021 - DEBUG         dm (low,high,step,inBin,outBin) 1805.439941,2919.040039,5.800000,32,32
Feb 18 23:00:35 2021 - DEBUG    ddtr max_ndms:		1024
Feb 18 23:00:35 2021 - DEBUG    ddtr ndms elements:
Feb 18 23:00:35 2021 - DEBUG         ndms[0]:		1024
Feb 18 23:00:35 2021 - DEBUG         ndms[1]:		384
Feb 18 23:00:35 2021 - DEBUG         ndms[2]:		352
Feb 18 23:00:35 2021 - DEBUG         ndms[3]:		384
Feb 18 23:00:35 2021 - DEBUG         ndms[4]:		384
Feb 18 23:00:35 2021 - DEBUG         ndms[5]:		192
Feb 18 23:00:35 2021 - DEBUG    ddtr maxshift:		46200
Feb 18 23:00:35 2021 - DEBUG    ddtr num_tchunks:	1
Feb 18 23:00:35 2021 - DEBUG    ddtr max_ndms:		1024
Feb 18 23:00:35 2021 - DEBUG    t_processed size:	6
Feb 18 23:00:35 2021 - DEBUG    t_processed elements:
Feb 18 23:00:35 2021 - DEBUG         t_processed[0][0]:	264960
Feb 18 23:00:35 2021 - DEBUG         t_processed[1][0]:	132480
Feb 18 23:00:35 2021 - DEBUG         t_processed[2][0]:	66240
Feb 18 23:00:35 2021 - DEBUG         t_processed[3][0]:	33120
Feb 18 23:00:35 2021 - DEBUG         t_processed[4][0]:	16560
Feb 18 23:00:35 2021 - DEBUG         t_processed[5][0]:	8280
Feb 18 23:00:35 2021 - DEBUG    power:			2.000000
Feb 18 23:00:35 2021 - NOTICE   Pipeline is ready.
Feb 18 23:00:35 2021 - NOTICE   Pipeline running over next chunk.
Feb 18 23:00:36 2021 - NOTICE   Pipeline running over next chunk.
Feb 18 23:00:36 2021 - NOTICE   Pipeline running over next chunk.
Feb 18 23:00:36 2021 - NOTICE   Pipeline running over next chunk.
Feb 18 23:00:36 2021 - NOTICE   Pipeline running over next chunk.
Feb 18 23:00:36 2021 - NOTICE   Pipeline running over next chunk.
Feb 18 23:00:36 2021 - NOTICE   Pipeline running over next chunk.
Feb 18 23:00:36 2021 - DEBUG    DDTR -> Memory cleanup after de-dispersion
Feb 18 23:00:36 2021 - NOTICE   Pipeline running over next chunk.
Feb 18 23:00:36 2021 - DEBUG    ------------------------------------------------------------->
Feb 18 23:00:36 2021 - DEBUG    FAKE SIGNAL INFORMATION:
Feb 18 23:00:36 2021 - DEBUG    DM position of signal:		250.000000
Feb 18 23:00:36 2021 - DEBUG    Signal start at [samples]:	3125
Feb 18 23:00:36 2021 - DEBUG    Signal width [samples]:		625
Feb 18 23:00:36 2021 - DEBUG    Signal sigma selected:		0.500000
Feb 18 23:00:36 2021 - DEBUG    Periodicity selected [ms]:	0
Feb 18 23:00:36 2021 - DEBUG    -------------------------------------------------------------<
Feb 18 23:00:36 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Feb 18 23:00:36 2021 - DEBUG    Optimization settings:
Feb 18 23:00:36 2021 - DEBUG    		UNROLL:			4
Feb 18 23:00:36 2021 - DEBUG    		SNUMREG:		2
Feb 18 23:00:36 2021 - DEBUG    		SDIVINT:		30
Feb 18 23:00:36 2021 - DEBUG    		SDIVINDM:		32
Feb 18 23:00:36 2021 - DEBUG    ddtr+analysis:		false
Feb 18 23:00:36 2021 - DEBUG    ddtr dm ranges:		6
Feb 18 23:00:36 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,122.879997,0.120000,1,1
Feb 18 23:00:36 2021 - DEBUG         dm (low,high,step,inBin,outBin) 122.879997,257.279999,0.350000,2,2
Feb 18 23:00:36 2021 - DEBUG         dm (low,high,step,inBin,outBin) 257.279999,461.440002,0.580000,4,4
Feb 18 23:00:36 2021 - DEBUG         dm (low,high,step,inBin,outBin) 461.440002,922.239990,1.200000,8,8
Feb 18 23:00:36 2021 - DEBUG         dm (low,high,step,inBin,outBin) 922.239990,1805.439941,2.300000,16,16
Feb 18 23:00:36 2021 - DEBUG         dm (low,high,step,inBin,outBin) 1805.439941,2919.040039,5.800000,32,32
Feb 18 23:00:36 2021 - DEBUG    ddtr max_ndms:		1024
Feb 18 23:00:36 2021 - DEBUG    ddtr ndms elements:
Feb 18 23:00:36 2021 - DEBUG         ndms[0]:		1024
Feb 18 23:00:36 2021 - DEBUG         ndms[1]:		384
Feb 18 23:00:36 2021 - DEBUG         ndms[2]:		352
Feb 18 23:00:36 2021 - DEBUG         ndms[3]:		384
Feb 18 23:00:36 2021 - DEBUG         ndms[4]:		384
Feb 18 23:00:36 2021 - DEBUG         ndms[5]:		192
Feb 18 23:00:36 2021 - DEBUG    ddtr maxshift:		46200
Feb 18 23:00:36 2021 - DEBUG    ddtr num_tchunks:	1
Feb 18 23:00:36 2021 - DEBUG    ddtr max_ndms:		1024
Feb 18 23:00:36 2021 - DEBUG    t_processed size:	6
Feb 18 23:00:36 2021 - DEBUG    t_processed elements:
Feb 18 23:00:36 2021 - DEBUG         t_processed[0][0]:	264960
Feb 18 23:00:36 2021 - DEBUG         t_processed[1][0]:	132480
Feb 18 23:00:36 2021 - DEBUG         t_processed[2][0]:	66240
