Feb 10 06:59:12 2021 - NOTICE   Detected 1 CUDA Capable device(s)
Feb 10 06:59:12 2021 - NOTICE   Device info 0 free 11391139840 (GeForce RTX 2080 Ti)
Feb 10 06:59:12 2021 - NOTICE   Checked for devices.
Feb 10 06:59:12 2021 - NOTICE   Application binary compiled for compute capability 75.
Feb 10 06:59:12 2021 - NOTICE   The requested device has capability 75 and the device code was compiled for a compatible architecture for the selected card.
Feb 10 06:59:12 2021 - NOTICE   init_card complete. Selected card 0.
Feb 10 06:59:12 2021 - DEBUG    CARD INFORMATION:
Feb 10 06:59:12 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 10 06:59:12 2021 - DEBUG    Compute capability:	7.5
Feb 10 06:59:12 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 10 06:59:12 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 10 06:59:12 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 10 06:59:12 2021 - DEBUG    ID # on this machine:	0
Feb 10 06:59:12 2021 - DEBUG    Driver version:		11010
Feb 10 06:59:12 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 10 06:59:12 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 10 06:59:12 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 10 06:59:12 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 10 06:59:12 2021 - NOTICE   Calculating strategy.
Feb 10 06:59:12 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 1320
Feb 10 06:59:12 2021 - DEBUG    Range:	6 MAXSHIFT:	225344 Scrunch value:	64
Feb 10 06:59:12 2021 - DEBUG    Maximum dispersive delay:	 7.211008(s).
Feb 10 06:59:12 2021 - DEBUG    Diagonal DM:	7.932343
Feb 10 06:59:12 2021 - DEBUG    In 1
Feb 10 06:59:12 2021 - NOTICE   The pipeline has reset all previously requested memory on card 0.
Feb 10 06:59:12 2021 - NOTICE   Calculating strategy.
Feb 10 06:59:12 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 1320
Feb 10 06:59:12 2021 - DEBUG    Range:	6 MAXSHIFT:	225344 Scrunch value:	64
Feb 10 06:59:12 2021 - DEBUG    Maximum dispersive delay:	 7.211008(s).
Feb 10 06:59:12 2021 - DEBUG    Diagonal DM:	7.932343
Feb 10 06:59:12 2021 - DEBUG    In 1
Feb 10 06:59:12 2021 - NOTICE   Neither zero_dm nor zero_dm_with_outliers were selected. Selection OFF.
Feb 10 06:59:12 2021 - NOTICE   ---PIPELINE DIAGNOSTIC INFORMATION---
Feb 10 06:59:12 2021 - DEBUG    CARD INFORMATION:
Feb 10 06:59:12 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 10 06:59:12 2021 - DEBUG    Compute capability:	7.5
Feb 10 06:59:12 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 10 06:59:12 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 10 06:59:12 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 10 06:59:12 2021 - DEBUG    ID # on this machine:	0
Feb 10 06:59:12 2021 - DEBUG    Driver version:		11010
Feb 10 06:59:12 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 10 06:59:12 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 10 06:59:12 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 10 06:59:12 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 10 06:59:12 2021 - DEBUG    FILTERBANK METADATA INFORMATION:
Feb 10 06:59:12 2021 - DEBUG    az_start:		0.000000
Feb 10 06:59:12 2021 - DEBUG    za_start:		0.000000
Feb 10 06:59:12 2021 - DEBUG    src_raj:			0.000000
Feb 10 06:59:12 2021 - DEBUG    src_dej:			0.000000
Feb 10 06:59:12 2021 - DEBUG    tstart:			50000.000000
Feb 10 06:59:12 2021 - DEBUG    tsamp:			0.000032
Feb 10 06:59:12 2021 - DEBUG    refdm:			0.000000
Feb 10 06:59:12 2021 - DEBUG    period:			0.000000
Feb 10 06:59:12 2021 - DEBUG    fch1:			855.000000
Feb 10 06:59:12 2021 - DEBUG    foff:			-0.205078
Feb 10 06:59:12 2021 - DEBUG    fchannel:		0.000000
Feb 10 06:59:12 2021 - DEBUG    telescope_id:		0
Feb 10 06:59:12 2021 - DEBUG    machine_id:		0
Feb 10 06:59:12 2021 - DEBUG    data_type:		0
Feb 10 06:59:12 2021 - DEBUG    barycentric:		0
Feb 10 06:59:12 2021 - DEBUG    pulsarcentric:		0
Feb 10 06:59:12 2021 - DEBUG    nbits:			8
Feb 10 06:59:12 2021 - DEBUG    nsamples:		625000
Feb 10 06:59:12 2021 - DEBUG    nchans:			1024
Feb 10 06:59:12 2021 - DEBUG    nifs:			0
Feb 10 06:59:12 2021 - DEBUG    FREQUENCY_START:		0
Feb 10 06:59:12 2021 - DEBUG    FREQUENCY_END:		0
Feb 10 06:59:12 2021 - DEBUG    rawdatafile:		
Feb 10 06:59:12 2021 - DEBUG    source_name:		
Feb 10 06:59:12 2021 - DEBUG    N:			0
Feb 10 06:59:12 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Feb 10 06:59:12 2021 - DEBUG    Optimization settings:
Feb 10 06:59:12 2021 - DEBUG    		UNROLL:			4
Feb 10 06:59:12 2021 - DEBUG    		SNUMREG:		2
Feb 10 06:59:12 2021 - DEBUG    		SDIVINT:		16
Feb 10 06:59:12 2021 - DEBUG    		SDIVINDM:		60
Feb 10 06:59:12 2021 - DEBUG    ddtr+analysis:		false
Feb 10 06:59:12 2021 - DEBUG    ddtr dm ranges:		7
Feb 10 06:59:12 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,26.400000,0.020000,1,1
Feb 10 06:59:12 2021 - DEBUG         dm (low,high,step,inBin,outBin) 26.400000,54.720001,0.059000,2,2
Feb 10 06:59:12 2021 - DEBUG         dm (low,high,step,inBin,outBin) 54.720001,95.880005,0.098000,4,4
Feb 10 06:59:12 2021 - DEBUG         dm (low,high,step,inBin,outBin) 95.880005,191.880005,0.200000,8,8
Feb 10 06:59:12 2021 - DEBUG         dm (low,high,step,inBin,outBin) 191.880005,402.479980,0.390000,16,16
Feb 10 06:59:12 2021 - DEBUG         dm (low,high,step,inBin,outBin) 402.479980,931.679993,0.980000,32,32
Feb 10 06:59:12 2021 - DEBUG         dm (low,high,step,inBin,outBin) 931.679993,1651.679932,2.000000,64,64
Feb 10 06:59:12 2021 - DEBUG    ddtr max_ndms:		1320
Feb 10 06:59:12 2021 - DEBUG    ddtr ndms elements:
Feb 10 06:59:12 2021 - DEBUG         ndms[0]:		1320
Feb 10 06:59:12 2021 - DEBUG         ndms[1]:		480
Feb 10 06:59:12 2021 - DEBUG         ndms[2]:		420
Feb 10 06:59:12 2021 - DEBUG         ndms[3]:		480
Feb 10 06:59:12 2021 - DEBUG         ndms[4]:		540
Feb 10 06:59:12 2021 - DEBUG         ndms[5]:		540
Feb 10 06:59:12 2021 - DEBUG         ndms[6]:		360
Feb 10 06:59:12 2021 - DEBUG    ddtr maxshift:		225344
Feb 10 06:59:12 2021 - DEBUG    ddtr num_tchunks:	1
Feb 10 06:59:12 2021 - DEBUG    ddtr max_ndms:		1320
Feb 10 06:59:12 2021 - DEBUG    t_processed size:	7
Feb 10 06:59:12 2021 - DEBUG    t_processed elements:
Feb 10 06:59:12 2021 - DEBUG         t_processed[0][0]:	397312
Feb 10 06:59:12 2021 - DEBUG         t_processed[1][0]:	198656
Feb 10 06:59:12 2021 - DEBUG         t_processed[2][0]:	99328
Feb 10 06:59:12 2021 - DEBUG         t_processed[3][0]:	49664
Feb 10 06:59:12 2021 - DEBUG         t_processed[4][0]:	24832
Feb 10 06:59:12 2021 - DEBUG         t_processed[5][0]:	12416
Feb 10 06:59:12 2021 - DEBUG         t_processed[6][0]:	6208
Feb 10 06:59:12 2021 - DEBUG    power:			2.000000
Feb 10 06:59:12 2021 - NOTICE   Pipeline is ready.
Feb 10 06:59:12 2021 - NOTICE   Pipeline running over next chunk.
Feb 10 06:59:13 2021 - NOTICE   Pipeline running over next chunk.
Feb 10 06:59:14 2021 - NOTICE   Pipeline running over next chunk.
Feb 10 06:59:14 2021 - NOTICE   Pipeline running over next chunk.
Feb 10 06:59:14 2021 - NOTICE   Pipeline running over next chunk.
Feb 10 06:59:14 2021 - NOTICE   Pipeline running over next chunk.
Feb 10 06:59:14 2021 - NOTICE   Pipeline running over next chunk.
Feb 10 06:59:14 2021 - NOTICE   Pipeline running over next chunk.
Feb 10 06:59:14 2021 - DEBUG    DDTR -> Memory cleanup after de-dispersion
Feb 10 06:59:14 2021 - NOTICE   Pipeline running over next chunk.
Feb 10 06:59:14 2021 - DEBUG    ------------------------------------------------------------->
Feb 10 06:59:14 2021 - DEBUG    FAKE SIGNAL INFORMATION:
Feb 10 06:59:14 2021 - DEBUG    DM position of signal:		250.000000
Feb 10 06:59:14 2021 - DEBUG    Signal start at [samples]:	6250
Feb 10 06:59:14 2021 - DEBUG    Signal width [samples]:		1250
Feb 10 06:59:14 2021 - DEBUG    Signal sigma selected:		0.500000
Feb 10 06:59:14 2021 - DEBUG    Periodicity selected [ms]:	0
Feb 10 06:59:14 2021 - DEBUG    -------------------------------------------------------------<
Feb 10 06:59:14 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Feb 10 06:59:14 2021 - DEBUG    Optimization settings:
Feb 10 06:59:14 2021 - DEBUG    		UNROLL:			4
Feb 10 06:59:14 2021 - DEBUG    		SNUMREG:		2
Feb 10 06:59:14 2021 - DEBUG    		SDIVINT:		16
Feb 10 06:59:14 2021 - DEBUG    		SDIVINDM:		60
Feb 10 06:59:14 2021 - DEBUG    ddtr+analysis:		false
Feb 10 06:59:14 2021 - DEBUG    ddtr dm ranges:		7
Feb 10 06:59:14 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,26.400000,0.020000,1,1
Feb 10 06:59:14 2021 - DEBUG         dm (low,high,step,inBin,outBin) 26.400000,54.720001,0.059000,2,2
Feb 10 06:59:14 2021 - DEBUG         dm (low,high,step,inBin,outBin) 54.720001,95.880005,0.098000,4,4
Feb 10 06:59:14 2021 - DEBUG         dm (low,high,step,inBin,outBin) 95.880005,191.880005,0.200000,8,8
Feb 10 06:59:14 2021 - DEBUG         dm (low,high,step,inBin,outBin) 191.880005,402.479980,0.390000,16,16
Feb 10 06:59:14 2021 - DEBUG         dm (low,high,step,inBin,outBin) 402.479980,931.679993,0.980000,32,32
Feb 10 06:59:14 2021 - DEBUG         dm (low,high,step,inBin,outBin) 931.679993,1651.679932,2.000000,64,64
Feb 10 06:59:14 2021 - DEBUG    ddtr max_ndms:		1320
Feb 10 06:59:14 2021 - DEBUG    ddtr ndms elements:
Feb 10 06:59:14 2021 - DEBUG         ndms[0]:		1320
Feb 10 06:59:14 2021 - DEBUG         ndms[1]:		480
Feb 10 06:59:14 2021 - DEBUG         ndms[2]:		420
Feb 10 06:59:14 2021 - DEBUG         ndms[3]:		480
Feb 10 06:59:14 2021 - DEBUG         ndms[4]:		540
Feb 10 06:59:14 2021 - DEBUG         ndms[5]:		540
Feb 10 06:59:14 2021 - DEBUG         ndms[6]:		360
Feb 10 06:59:14 2021 - DEBUG    ddtr maxshift:		225344
Feb 10 06:59:14 2021 - DEBUG    ddtr num_tchunks:	1
Feb 10 06:59:14 2021 - DEBUG    ddtr max_ndms:		1320
Feb 10 06:59:14 2021 - DEBUG    t_processed size:	7
Feb 10 06:59:14 2021 - DEBUG    t_processed elements:
Feb 10 06:59:14 2021 - DEBUG         t_processed[0][0]:	397312
Feb 10 06:59:14 2021 - DEBUG         t_processed[1][0]:	198656
Feb 10 06:59:14 2021 - DEBUG         t_processed[2][0]:	99328
Feb 10 06:59:14 2021 - DEBUG         t_processed[3][0]:	49664
Feb 10 06:59:14 2021 - DEBUG         t_processed[4][0]:	24832
Feb 10 06:59:14 2021 - DEBUG         t_processed[5][0]:	12416
Feb 10 06:59:14 2021 - DEBUG         t_processed[6][0]:	6208
Feb 10 06:59:14 2021 - DEBUG    power:			2.000000
Feb 10 06:59:14 2021 - NOTICE   Finished. 1
Feb 10 06:59:14 2021 - NOTICE   ----------------------------------------------------------------------------------------------------------
Feb 10 06:59:14 2021 - DEBUG    Generic Pipeline -> Memory cleanup at the end of the pipeline
Feb 10 06:59:14 2021 - NOTICE   --------------------------------------------------------------
Feb 10 06:59:14 2021 - NOTICE   Summary of the times for each component and subcomponent [ms]:
Feb 10 06:59:14 2021 - NOTICE   	DDTR Binning 	79.425441
Feb 10 06:59:14 2021 - NOTICE   	DDTR Corner_Turn 	26.837440
Feb 10 06:59:14 2021 - NOTICE   	DDTR Dedispersion 	721.126207
Feb 10 06:59:14 2021 - NOTICE   	DDTR Host_To_Device 	835.687315
Feb 10 06:59:14 2021 - NOTICE   	DDTR total 	1663.302384
Feb 10 06:59:14 2021 - NOTICE   	Total total 	1663.469604
Feb 10 06:59:14 2021 - NOTICE   	Processed telescope time:	12713.983536
