Feb 26 20:01:56 2021 - NOTICE   Detected 1 CUDA Capable device(s)
Feb 26 20:01:56 2021 - NOTICE   Device info 0 free 11391139840 (GeForce RTX 2080 Ti)
Feb 26 20:01:56 2021 - NOTICE   Checked for devices.
Feb 26 20:01:56 2021 - NOTICE   Application binary compiled for compute capability 75.
Feb 26 20:01:56 2021 - NOTICE   The requested device has capability 75 and the device code was compiled for a compatible architecture for the selected card.
Feb 26 20:01:56 2021 - NOTICE   init_card complete. Selected card 0.
Feb 26 20:01:56 2021 - DEBUG    CARD INFORMATION:
Feb 26 20:01:56 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 26 20:01:56 2021 - DEBUG    Compute capability:	7.5
Feb 26 20:01:56 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 26 20:01:56 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 26 20:01:56 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 26 20:01:56 2021 - DEBUG    ID # on this machine:	0
Feb 26 20:01:56 2021 - DEBUG    Driver version:		11010
Feb 26 20:01:56 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 26 20:01:56 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 26 20:01:56 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 26 20:01:56 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 26 20:01:56 2021 - NOTICE   Calculating strategy.
Feb 26 20:01:56 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 6464
Feb 26 20:01:56 2021 - DEBUG    Range:	2 MAXSHIFT:	15880 Scrunch value:	4
Feb 26 20:01:56 2021 - DEBUG    Maximum dispersive delay:	 1.016320(s).
Feb 26 20:01:56 2021 - DEBUG    Diagonal DM:	456.003855
Feb 26 20:01:56 2021 - DEBUG    In 1
Feb 26 20:01:56 2021 - NOTICE   The pipeline has reset all previously requested memory on card 0.
Feb 26 20:01:56 2021 - NOTICE   Calculating strategy.
Feb 26 20:01:56 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 6464
Feb 26 20:01:56 2021 - DEBUG    Range:	2 MAXSHIFT:	15880 Scrunch value:	4
Feb 26 20:01:56 2021 - DEBUG    Maximum dispersive delay:	 1.016320(s).
Feb 26 20:01:56 2021 - DEBUG    Diagonal DM:	456.003855
Feb 26 20:01:56 2021 - DEBUG    In 1
Feb 26 20:01:56 2021 - NOTICE   Neither zero_dm nor zero_dm_with_outliers were selected. Selection OFF.
Feb 26 20:01:56 2021 - NOTICE   ---PIPELINE DIAGNOSTIC INFORMATION---
Feb 26 20:01:56 2021 - DEBUG    CARD INFORMATION:
Feb 26 20:01:56 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 26 20:01:56 2021 - DEBUG    Compute capability:	7.5
Feb 26 20:01:56 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 26 20:01:56 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 26 20:01:56 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 26 20:01:56 2021 - DEBUG    ID # on this machine:	0
Feb 26 20:01:56 2021 - DEBUG    Driver version:		11010
Feb 26 20:01:56 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 26 20:01:56 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 26 20:01:56 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 26 20:01:56 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 26 20:01:56 2021 - DEBUG    FILTERBANK METADATA INFORMATION:
Feb 26 20:01:56 2021 - DEBUG    az_start:		0.000000
Feb 26 20:01:56 2021 - DEBUG    za_start:		0.000000
Feb 26 20:01:56 2021 - DEBUG    src_raj:			0.000000
Feb 26 20:01:56 2021 - DEBUG    src_dej:			0.000000
Feb 26 20:01:56 2021 - DEBUG    tstart:			50000.000000
Feb 26 20:01:56 2021 - DEBUG    tsamp:			0.000064
Feb 26 20:01:56 2021 - DEBUG    refdm:			0.000000
Feb 26 20:01:56 2021 - DEBUG    period:			0.000000
Feb 26 20:01:56 2021 - DEBUG    fch1:			1705.000000
Feb 26 20:01:56 2021 - DEBUG    foff:			-0.073242
Feb 26 20:01:56 2021 - DEBUG    fchannel:		0.000000
Feb 26 20:01:56 2021 - DEBUG    telescope_id:		0
Feb 26 20:01:56 2021 - DEBUG    machine_id:		0
Feb 26 20:01:56 2021 - DEBUG    data_type:		0
Feb 26 20:01:56 2021 - DEBUG    barycentric:		0
Feb 26 20:01:56 2021 - DEBUG    pulsarcentric:		0
Feb 26 20:01:56 2021 - DEBUG    nbits:			8
Feb 26 20:01:56 2021 - DEBUG    nsamples:		312500
Feb 26 20:01:56 2021 - DEBUG    nchans:			2048
Feb 26 20:01:56 2021 - DEBUG    nifs:			0
Feb 26 20:01:56 2021 - DEBUG    FREQUENCY_START:		0
Feb 26 20:01:56 2021 - DEBUG    FREQUENCY_END:		0
Feb 26 20:01:56 2021 - DEBUG    rawdatafile:		
Feb 26 20:01:56 2021 - DEBUG    source_name:		
Feb 26 20:01:56 2021 - DEBUG    N:			0
Feb 26 20:01:56 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Feb 26 20:01:56 2021 - DEBUG    Optimization settings:
Feb 26 20:01:56 2021 - DEBUG    		UNROLL:			4
Feb 26 20:01:56 2021 - DEBUG    		SNUMREG:		2
Feb 26 20:01:56 2021 - DEBUG    		SDIVINT:		10
Feb 26 20:01:56 2021 - DEBUG    		SDIVINDM:		64
Feb 26 20:01:56 2021 - DEBUG    ddtr+analysis:		false
Feb 26 20:01:56 2021 - DEBUG    ddtr dm ranges:		3
Feb 26 20:01:56 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,1809.920044,0.280000,1,1
Feb 26 20:01:56 2021 - DEBUG         dm (low,high,step,inBin,outBin) 1809.920044,3279.360107,0.560000,2,2
Feb 26 20:01:56 2021 - DEBUG         dm (low,high,step,inBin,outBin) 3279.360107,3490.560059,1.100000,4,4
Feb 26 20:01:56 2021 - DEBUG    ddtr max_ndms:		6464
Feb 26 20:01:56 2021 - DEBUG    ddtr ndms elements:
Feb 26 20:01:56 2021 - DEBUG         ndms[0]:		6464
Feb 26 20:01:56 2021 - DEBUG         ndms[1]:		2624
Feb 26 20:01:56 2021 - DEBUG         ndms[2]:		192
Feb 26 20:01:56 2021 - DEBUG    ddtr maxshift:		15880
Feb 26 20:01:56 2021 - DEBUG    ddtr num_tchunks:	1
Feb 26 20:01:56 2021 - DEBUG    ddtr max_ndms:		6464
Feb 26 20:01:56 2021 - DEBUG    t_processed size:	3
Feb 26 20:01:56 2021 - DEBUG    t_processed elements:
Feb 26 20:01:56 2021 - DEBUG         t_processed[0][0]:	296480
Feb 26 20:01:56 2021 - DEBUG         t_processed[1][0]:	148240
Feb 26 20:01:56 2021 - DEBUG         t_processed[2][0]:	74120
Feb 26 20:01:56 2021 - DEBUG    power:			2.000000
Feb 26 20:01:56 2021 - NOTICE   Pipeline is ready.
Feb 26 20:01:56 2021 - NOTICE   Pipeline running over next chunk.
Feb 26 20:02:02 2021 - NOTICE   Pipeline running over next chunk.
Feb 26 20:02:03 2021 - NOTICE   Pipeline running over next chunk.
Feb 26 20:02:03 2021 - NOTICE   Pipeline running over next chunk.
Feb 26 20:02:03 2021 - DEBUG    DDTR -> Memory cleanup after de-dispersion
Feb 26 20:02:03 2021 - NOTICE   Pipeline running over next chunk.
Feb 26 20:02:03 2021 - DEBUG    ------------------------------------------------------------->
Feb 26 20:02:03 2021 - DEBUG    FAKE SIGNAL INFORMATION:
Feb 26 20:02:03 2021 - DEBUG    DM position of signal:		250.000000
