Feb 26 02:46:38 2021 - NOTICE   Detected 1 CUDA Capable device(s)
Feb 26 02:46:38 2021 - NOTICE   Device info 0 free 11391139840 (GeForce RTX 2080 Ti)
Feb 26 02:46:38 2021 - NOTICE   Checked for devices.
Feb 26 02:46:38 2021 - NOTICE   Application binary compiled for compute capability 75.
Feb 26 02:46:38 2021 - NOTICE   The requested device has capability 75 and the device code was compiled for a compatible architecture for the selected card.
Feb 26 02:46:38 2021 - NOTICE   init_card complete. Selected card 0.
Feb 26 02:46:38 2021 - DEBUG    CARD INFORMATION:
Feb 26 02:46:38 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 26 02:46:38 2021 - DEBUG    Compute capability:	7.5
Feb 26 02:46:38 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 26 02:46:38 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 26 02:46:38 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 26 02:46:38 2021 - DEBUG    ID # on this machine:	0
Feb 26 02:46:38 2021 - DEBUG    Driver version:		11010
Feb 26 02:46:38 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 26 02:46:38 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 26 02:46:38 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 26 02:46:38 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 26 02:46:38 2021 - NOTICE   Calculating strategy.
Feb 26 02:46:38 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 432
Feb 26 02:46:38 2021 - DEBUG    Range:	3 MAXSHIFT:	21360 Scrunch value:	8
Feb 26 02:46:38 2021 - DEBUG    Maximum dispersive delay:	 1.367040(s).
Feb 26 02:46:38 2021 - DEBUG    Diagonal DM:	176.354214
Feb 26 02:46:38 2021 - DEBUG    In 2
Feb 26 02:46:39 2021 - NOTICE   The pipeline has reset all previously requested memory on card 0.
Feb 26 02:46:39 2021 - NOTICE   Calculating strategy.
Feb 26 02:46:39 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 432
Feb 26 02:46:39 2021 - DEBUG    Range:	3 MAXSHIFT:	21360 Scrunch value:	8
Feb 26 02:46:39 2021 - DEBUG    Maximum dispersive delay:	 1.367040(s).
Feb 26 02:46:39 2021 - DEBUG    Diagonal DM:	176.354214
Feb 26 02:46:39 2021 - DEBUG    In 2
Feb 26 02:46:39 2021 - NOTICE   Neither zero_dm nor zero_dm_with_outliers were selected. Selection OFF.
Feb 26 02:46:39 2021 - NOTICE   ---PIPELINE DIAGNOSTIC INFORMATION---
Feb 26 02:46:39 2021 - DEBUG    CARD INFORMATION:
Feb 26 02:46:39 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 26 02:46:39 2021 - DEBUG    Compute capability:	7.5
Feb 26 02:46:39 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 26 02:46:39 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 26 02:46:39 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 26 02:46:39 2021 - DEBUG    ID # on this machine:	0
Feb 26 02:46:39 2021 - DEBUG    Driver version:		11010
Feb 26 02:46:39 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 26 02:46:39 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 26 02:46:39 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 26 02:46:39 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 26 02:46:39 2021 - DEBUG    FILTERBANK METADATA INFORMATION:
Feb 26 02:46:39 2021 - DEBUG    az_start:		0.000000
Feb 26 02:46:39 2021 - DEBUG    za_start:		0.000000
Feb 26 02:46:39 2021 - DEBUG    src_raj:			0.000000
Feb 26 02:46:39 2021 - DEBUG    src_dej:			0.000000
Feb 26 02:46:39 2021 - DEBUG    tstart:			50000.000000
Feb 26 02:46:39 2021 - DEBUG    tsamp:			0.000064
Feb 26 02:46:39 2021 - DEBUG    refdm:			0.000000
Feb 26 02:46:39 2021 - DEBUG    period:			0.000000
Feb 26 02:46:39 2021 - DEBUG    fch1:			1680.000000
Feb 26 02:46:39 2021 - DEBUG    foff:			-0.175781
Feb 26 02:46:39 2021 - DEBUG    fchannel:		0.000000
Feb 26 02:46:39 2021 - DEBUG    telescope_id:		0
Feb 26 02:46:39 2021 - DEBUG    machine_id:		0
Feb 26 02:46:39 2021 - DEBUG    data_type:		0
Feb 26 02:46:39 2021 - DEBUG    barycentric:		0
Feb 26 02:46:39 2021 - DEBUG    pulsarcentric:		0
Feb 26 02:46:39 2021 - DEBUG    nbits:			8
Feb 26 02:46:39 2021 - DEBUG    nsamples:		312500
Feb 26 02:46:39 2021 - DEBUG    nchans:			1024
Feb 26 02:46:39 2021 - DEBUG    nifs:			0
Feb 26 02:46:39 2021 - DEBUG    FREQUENCY_START:		0
Feb 26 02:46:39 2021 - DEBUG    FREQUENCY_END:		0
Feb 26 02:46:39 2021 - DEBUG    rawdatafile:		
Feb 26 02:46:39 2021 - DEBUG    source_name:		
Feb 26 02:46:39 2021 - DEBUG    N:			0
Feb 26 02:46:39 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Feb 26 02:46:39 2021 - DEBUG    Optimization settings:
Feb 26 02:46:39 2021 - DEBUG    		UNROLL:			4
Feb 26 02:46:39 2021 - DEBUG    		SNUMREG:		4
Feb 26 02:46:39 2021 - DEBUG    		SDIVINT:		30
Feb 26 02:46:39 2021 - DEBUG    		SDIVINDM:		24
Feb 26 02:46:39 2021 - DEBUG    ddtr+analysis:		false
Feb 26 02:46:39 2021 - DEBUG    ddtr dm ranges:		4
Feb 26 02:46:39 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,648.000000,1.500000,1,1
Feb 26 02:46:39 2021 - DEBUG         dm (low,high,step,inBin,outBin) 648.000000,1068.000000,2.500000,2,2
