Feb  2 14:31:06 2021 - NOTICE   Detected 1 CUDA Capable device(s)
Feb  2 14:31:06 2021 - NOTICE   Device info 0 free 11391139840 (GeForce RTX 2080 Ti)
Feb  2 14:31:06 2021 - NOTICE   Checked for devices.
Feb  2 14:31:06 2021 - NOTICE   Application binary compiled for compute capability 75.
Feb  2 14:31:06 2021 - NOTICE   The requested device has capability 75 and the device code was compiled for a compatible architecture for the selected card.
Feb  2 14:31:06 2021 - NOTICE   init_card complete. Selected card 0.
Feb  2 14:31:06 2021 - DEBUG    CARD INFORMATION:
Feb  2 14:31:06 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb  2 14:31:06 2021 - DEBUG    Compute capability:	7.5
Feb  2 14:31:06 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb  2 14:31:06 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb  2 14:31:06 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb  2 14:31:06 2021 - DEBUG    ID # on this machine:	0
Feb  2 14:31:06 2021 - DEBUG    Driver version:		11010
Feb  2 14:31:06 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb  2 14:31:06 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb  2 14:31:06 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb  2 14:31:06 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb  2 14:31:06 2021 - NOTICE   Calculating strategy.
Feb  2 14:31:06 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 480
Feb  2 14:31:06 2021 - DEBUG    Range:	1 MAXSHIFT:	8232 Scrunch value:	2
Feb  2 14:31:06 2021 - DEBUG    Maximum dispersive delay:	 8.429568(s).
Feb  2 14:31:06 2021 - DEBUG    Diagonal DM:	217.677356
Feb  2 14:31:06 2021 - DEBUG    In 2
Feb  2 14:31:06 2021 - NOTICE   The pipeline has reset all previously requested memory on card 0.
Feb  2 14:31:06 2021 - NOTICE   Calculating strategy.
Feb  2 14:31:06 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 480
Feb  2 14:31:06 2021 - DEBUG    Range:	1 MAXSHIFT:	8232 Scrunch value:	2
Feb  2 14:31:06 2021 - DEBUG    Maximum dispersive delay:	 8.429568(s).
Feb  2 14:31:06 2021 - DEBUG    Diagonal DM:	217.677356
Feb  2 14:31:06 2021 - DEBUG    In 2
Feb  2 14:31:06 2021 - NOTICE   Neither zero_dm nor zero_dm_with_outliers were selected. Selection OFF.
Feb  2 14:31:06 2021 - NOTICE   ---PIPELINE DIAGNOSTIC INFORMATION---
Feb  2 14:31:06 2021 - DEBUG    CARD INFORMATION:
Feb  2 14:31:06 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb  2 14:31:06 2021 - DEBUG    Compute capability:	7.5
Feb  2 14:31:06 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb  2 14:31:06 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb  2 14:31:06 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb  2 14:31:06 2021 - DEBUG    ID # on this machine:	0
Feb  2 14:31:06 2021 - DEBUG    Driver version:		11010
Feb  2 14:31:06 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb  2 14:31:06 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb  2 14:31:06 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb  2 14:31:06 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb  2 14:31:06 2021 - DEBUG    FILTERBANK METADATA INFORMATION:
Feb  2 14:31:06 2021 - DEBUG    az_start:		0.000000
Feb  2 14:31:06 2021 - DEBUG    za_start:		0.000000
Feb  2 14:31:06 2021 - DEBUG    src_raj:			0.000000
Feb  2 14:31:06 2021 - DEBUG    src_dej:			0.000000
Feb  2 14:31:06 2021 - DEBUG    tstart:			50000.000000
Feb  2 14:31:06 2021 - DEBUG    tsamp:			0.001024
Feb  2 14:31:06 2021 - DEBUG    refdm:			0.000000
Feb  2 14:31:06 2021 - DEBUG    period:			0.000000
Feb  2 14:31:06 2021 - DEBUG    fch1:			902.500000
Feb  2 14:31:06 2021 - DEBUG    foff:			-0.258789
Feb  2 14:31:06 2021 - DEBUG    fchannel:		0.000000
Feb  2 14:31:06 2021 - DEBUG    telescope_id:		0
Feb  2 14:31:06 2021 - DEBUG    machine_id:		0
Feb  2 14:31:06 2021 - DEBUG    data_type:		0
Feb  2 14:31:06 2021 - DEBUG    barycentric:		0
Feb  2 14:31:06 2021 - DEBUG    pulsarcentric:		0
Feb  2 14:31:06 2021 - DEBUG    nbits:			8
Feb  2 14:31:06 2021 - DEBUG    nsamples:		19531
Feb  2 14:31:06 2021 - DEBUG    nchans:			1024
Feb  2 14:31:06 2021 - DEBUG    nifs:			0
Feb  2 14:31:06 2021 - DEBUG    FREQUENCY_START:		0
Feb  2 14:31:06 2021 - DEBUG    FREQUENCY_END:		0
Feb  2 14:31:06 2021 - DEBUG    rawdatafile:		
Feb  2 14:31:06 2021 - DEBUG    source_name:		
Feb  2 14:31:06 2021 - DEBUG    N:			0
Feb  2 14:31:06 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Feb  2 14:31:06 2021 - DEBUG    Optimization settings:
Feb  2 14:31:06 2021 - DEBUG    		UNROLL:			4
Feb  2 14:31:06 2021 - DEBUG    		SNUMREG:		6
Feb  2 14:31:06 2021 - DEBUG    		SDIVINT:		14
Feb  2 14:31:06 2021 - DEBUG    		SDIVINDM:		40
Feb  2 14:31:06 2021 - DEBUG    ddtr+analysis:		false
Feb  2 14:31:06 2021 - DEBUG    ddtr dm ranges:		2
Feb  2 14:31:06 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,912.000000,1.900000,1,1
Feb  2 14:31:06 2021 - DEBUG         dm (low,high,step,inBin,outBin) 912.000000,1612.000000,2.500000,2,2
Feb  2 14:31:06 2021 - DEBUG    ddtr max_ndms:		480
Feb  2 14:31:06 2021 - DEBUG    ddtr ndms elements:
Feb  2 14:31:06 2021 - DEBUG         ndms[0]:		480
Feb  2 14:31:06 2021 - DEBUG         ndms[1]:		280
Feb  2 14:31:06 2021 - DEBUG    ddtr maxshift:		8232
Feb  2 14:31:06 2021 - DEBUG    ddtr num_tchunks:	1
Feb  2 14:31:06 2021 - DEBUG    ddtr max_ndms:		480
Feb  2 14:31:06 2021 - DEBUG    t_processed size:	2
Feb  2 14:31:06 2021 - DEBUG    t_processed elements:
Feb  2 14:31:06 2021 - DEBUG         t_processed[0][0]:	11088
Feb  2 14:31:06 2021 - DEBUG         t_processed[1][0]:	5544
Feb  2 14:31:06 2021 - DEBUG    power:			2.000000
Feb  2 14:31:06 2021 - NOTICE   Pipeline is ready.
Feb  2 14:31:06 2021 - NOTICE   Pipeline running over next chunk.
Feb  2 14:31:06 2021 - NOTICE   Pipeline running over next chunk.
Feb  2 14:31:06 2021 - NOTICE   Pipeline running over next chunk.
Feb  2 14:31:06 2021 - DEBUG    DDTR -> Memory cleanup after de-dispersion
Feb  2 14:31:06 2021 - NOTICE   Pipeline running over next chunk.
Feb  2 14:31:06 2021 - DEBUG    ------------------------------------------------------------->
Feb  2 14:31:06 2021 - DEBUG    FAKE SIGNAL INFORMATION:
