Feb 27 07:55:43 2021 - NOTICE   Detected 1 CUDA Capable device(s)
Feb 27 07:55:43 2021 - NOTICE   Device info 0 free 11391139840 (GeForce RTX 2080 Ti)
Feb 27 07:55:43 2021 - NOTICE   Checked for devices.
Feb 27 07:55:43 2021 - NOTICE   Application binary compiled for compute capability 75.
Feb 27 07:55:43 2021 - NOTICE   The requested device has capability 75 and the device code was compiled for a compatible architecture for the selected card.
Feb 27 07:55:43 2021 - NOTICE   init_card complete. Selected card 0.
Feb 27 07:55:43 2021 - DEBUG    CARD INFORMATION:
Feb 27 07:55:43 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 27 07:55:43 2021 - DEBUG    Compute capability:	7.5
Feb 27 07:55:43 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 27 07:55:43 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 27 07:55:43 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 27 07:55:43 2021 - DEBUG    ID # on this machine:	0
Feb 27 07:55:43 2021 - DEBUG    Driver version:		11010
Feb 27 07:55:43 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 27 07:55:43 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 27 07:55:43 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 27 07:55:43 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 27 07:55:43 2021 - NOTICE   Calculating strategy.
Feb 27 07:55:43 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 120
Feb 27 07:55:43 2021 - DEBUG    Range:	0 MAXSHIFT:	911 Scrunch value:	1
Feb 27 07:55:43 2021 - DEBUG    Maximum dispersive delay:	 0.932864(s).
Feb 27 07:55:43 2021 - DEBUG    Diagonal DM:	30469.204733
Feb 27 07:55:43 2021 - DEBUG    In 2
Feb 27 07:55:43 2021 - NOTICE   The pipeline has reset all previously requested memory on card 0.
Feb 27 07:55:43 2021 - NOTICE   Calculating strategy.
Feb 27 07:55:43 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 120
Feb 27 07:55:43 2021 - DEBUG    Range:	0 MAXSHIFT:	911 Scrunch value:	1
Feb 27 07:55:43 2021 - DEBUG    Maximum dispersive delay:	 0.932864(s).
Feb 27 07:55:43 2021 - DEBUG    Diagonal DM:	30469.204733
Feb 27 07:55:43 2021 - DEBUG    In 2
Feb 27 07:55:43 2021 - NOTICE   Neither zero_dm nor zero_dm_with_outliers were selected. Selection OFF.
Feb 27 07:55:43 2021 - NOTICE   ---PIPELINE DIAGNOSTIC INFORMATION---
Feb 27 07:55:43 2021 - DEBUG    CARD INFORMATION:
Feb 27 07:55:43 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb 27 07:55:43 2021 - DEBUG    Compute capability:	7.5
Feb 27 07:55:43 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb 27 07:55:43 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb 27 07:55:43 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb 27 07:55:43 2021 - DEBUG    ID # on this machine:	0
Feb 27 07:55:43 2021 - DEBUG    Driver version:		11010
Feb 27 07:55:43 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb 27 07:55:43 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb 27 07:55:43 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb 27 07:55:43 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb 27 07:55:43 2021 - DEBUG    FILTERBANK METADATA INFORMATION:
Feb 27 07:55:43 2021 - DEBUG    az_start:		0.000000
Feb 27 07:55:43 2021 - DEBUG    za_start:		0.000000
Feb 27 07:55:43 2021 - DEBUG    src_raj:			0.000000
Feb 27 07:55:43 2021 - DEBUG    src_dej:			0.000000
Feb 27 07:55:43 2021 - DEBUG    tstart:			50000.000000
Feb 27 07:55:43 2021 - DEBUG    tsamp:			0.001024
Feb 27 07:55:43 2021 - DEBUG    refdm:			0.000000
Feb 27 07:55:43 2021 - DEBUG    period:			0.000000
Feb 27 07:55:43 2021 - DEBUG    fch1:			1845.000000
Feb 27 07:55:43 2021 - DEBUG    foff:			-0.024414
Feb 27 07:55:43 2021 - DEBUG    fchannel:		0.000000
Feb 27 07:55:43 2021 - DEBUG    telescope_id:		0
Feb 27 07:55:43 2021 - DEBUG    machine_id:		0
Feb 27 07:55:43 2021 - DEBUG    data_type:		0
Feb 27 07:55:43 2021 - DEBUG    barycentric:		0
Feb 27 07:55:43 2021 - DEBUG    pulsarcentric:		0
Feb 27 07:55:43 2021 - DEBUG    nbits:			8
Feb 27 07:55:43 2021 - DEBUG    nsamples:		19531
Feb 27 07:55:43 2021 - DEBUG    nchans:			2048
Feb 27 07:55:43 2021 - DEBUG    nifs:			0
Feb 27 07:55:43 2021 - DEBUG    FREQUENCY_START:		0
Feb 27 07:55:43 2021 - DEBUG    FREQUENCY_END:		0
Feb 27 07:55:43 2021 - DEBUG    rawdatafile:		
Feb 27 07:55:43 2021 - DEBUG    source_name:		
Feb 27 07:55:43 2021 - DEBUG    N:			0
Feb 27 07:55:43 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Feb 27 07:55:43 2021 - DEBUG    Optimization settings:
Feb 27 07:55:43 2021 - DEBUG    		UNROLL:			4
Feb 27 07:55:43 2021 - DEBUG    		SNUMREG:		8
Feb 27 07:55:43 2021 - DEBUG    		SDIVINT:		8
Feb 27 07:55:43 2021 - DEBUG    		SDIVINDM:		60
Feb 27 07:55:43 2021 - DEBUG    ddtr+analysis:		false
Feb 27 07:55:43 2021 - DEBUG    ddtr dm ranges:		1
Feb 27 07:55:43 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,11640.000000,97.000000,1,1
Feb 27 07:55:43 2021 - DEBUG    ddtr max_ndms:		120
Feb 27 07:55:43 2021 - DEBUG    ddtr ndms elements:
Feb 27 07:55:43 2021 - DEBUG         ndms[0]:		120
Feb 27 07:55:43 2021 - DEBUG    ddtr maxshift:		911
Feb 27 07:55:43 2021 - DEBUG    ddtr num_tchunks:	1
Feb 27 07:55:43 2021 - DEBUG    ddtr max_ndms:		120
Feb 27 07:55:43 2021 - DEBUG    t_processed size:	1
Feb 27 07:55:43 2021 - DEBUG    t_processed elements:
Feb 27 07:55:43 2021 - DEBUG         t_processed[0][0]:	18560
Feb 27 07:55:43 2021 - DEBUG    power:			2.000000
Feb 27 07:55:43 2021 - NOTICE   Pipeline is ready.
Feb 27 07:55:43 2021 - NOTICE   Pipeline running over next chunk.
Feb 27 07:55:43 2021 - NOTICE   Pipeline running over next chunk.
Feb 27 07:55:43 2021 - DEBUG    DDTR -> Memory cleanup after de-dispersion
Feb 27 07:55:43 2021 - NOTICE   Pipeline running over next chunk.
Feb 27 07:55:43 2021 - DEBUG    ------------------------------------------------------------->
Feb 27 07:55:43 2021 - DEBUG    FAKE SIGNAL INFORMATION:
Feb 27 07:55:43 2021 - DEBUG    DM position of signal:		250.000000
Feb 27 07:55:43 2021 - DEBUG    Signal start at [samples]:	195
Feb 27 07:55:43 2021 - DEBUG    Signal width [samples]:		39
Feb 27 07:55:43 2021 - DEBUG    Signal sigma selected:		0.500000
Feb 27 07:55:43 2021 - DEBUG    Periodicity selected [ms]:	0
Feb 27 07:55:43 2021 - DEBUG    -------------------------------------------------------------<
Feb 27 07:55:43 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Feb 27 07:55:43 2021 - DEBUG    Optimization settings:
Feb 27 07:55:43 2021 - DEBUG    		UNROLL:			4
Feb 27 07:55:43 2021 - DEBUG    		SNUMREG:		8
