Jan  6 05:48:24 2021 - NOTICE   Detected 1 CUDA Capable device(s)
Jan  6 05:48:24 2021 - NOTICE   Device info 0 free 11391139840 (GeForce RTX 2080 Ti)
Jan  6 05:48:24 2021 - NOTICE   Checked for devices.
Jan  6 05:48:24 2021 - NOTICE   Application binary compiled for compute capability 75.
Jan  6 05:48:24 2021 - NOTICE   The requested device has capability 75 and the device code was compiled for a compatible architecture for the selected card.
Jan  6 05:48:24 2021 - NOTICE   init_card complete. Selected card 0.
Jan  6 05:48:24 2021 - DEBUG    CARD INFORMATION:
Jan  6 05:48:24 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Jan  6 05:48:24 2021 - DEBUG    Compute capability:	7.5
Jan  6 05:48:24 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Jan  6 05:48:24 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Jan  6 05:48:24 2021 - DEBUG    Memory bus width [bits]:	352.000000
Jan  6 05:48:24 2021 - DEBUG    ID # on this machine:	0
Jan  6 05:48:24 2021 - DEBUG    Driver version:		11010
Jan  6 05:48:24 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Jan  6 05:48:24 2021 - DEBUG    Global memory [bytes]:	11554717696
Jan  6 05:48:24 2021 - DEBUG    Total memory [bytes]:	11554717696
Jan  6 05:48:24 2021 - DEBUG    Free memory [bytes]:	11391139840
Jan  6 05:48:24 2021 - NOTICE   Calculating strategy.
Jan  6 05:48:24 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 1536
Jan  6 05:48:24 2021 - DEBUG    Range:	5 MAXSHIFT:	107744 Scrunch value:	32
Jan  6 05:48:24 2021 - DEBUG    Maximum dispersive delay:	 3.447808(s).
Jan  6 05:48:24 2021 - DEBUG    Diagonal DM:	31.677975
Jan  6 05:48:24 2021 - DEBUG    In 1
Jan  6 05:48:25 2021 - NOTICE   The pipeline has reset all previously requested memory on card 0.
Jan  6 05:48:25 2021 - NOTICE   Calculating strategy.
Jan  6 05:48:25 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 1536
Jan  6 05:48:25 2021 - DEBUG    Range:	5 MAXSHIFT:	107744 Scrunch value:	32
Jan  6 05:48:25 2021 - DEBUG    Maximum dispersive delay:	 3.447808(s).
Jan  6 05:48:25 2021 - DEBUG    Diagonal DM:	31.677975
Jan  6 05:48:25 2021 - DEBUG    In 1
Jan  6 05:48:25 2021 - NOTICE   Neither zero_dm nor zero_dm_with_outliers were selected. Selection OFF.
Jan  6 05:48:25 2021 - NOTICE   ---PIPELINE DIAGNOSTIC INFORMATION---
Jan  6 05:48:25 2021 - DEBUG    CARD INFORMATION:
Jan  6 05:48:25 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Jan  6 05:48:25 2021 - DEBUG    Compute capability:	7.5
Jan  6 05:48:25 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Jan  6 05:48:25 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Jan  6 05:48:25 2021 - DEBUG    Memory bus width [bits]:	352.000000
Jan  6 05:48:25 2021 - DEBUG    ID # on this machine:	0
Jan  6 05:48:25 2021 - DEBUG    Driver version:		11010
Jan  6 05:48:25 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Jan  6 05:48:25 2021 - DEBUG    Global memory [bytes]:	11554717696
Jan  6 05:48:25 2021 - DEBUG    Total memory [bytes]:	11554717696
Jan  6 05:48:25 2021 - DEBUG    Free memory [bytes]:	11391139840
Jan  6 05:48:25 2021 - DEBUG    FILTERBANK METADATA INFORMATION:
Jan  6 05:48:25 2021 - DEBUG    az_start:		0.000000
Jan  6 05:48:25 2021 - DEBUG    za_start:		0.000000
Jan  6 05:48:25 2021 - DEBUG    src_raj:			0.000000
Jan  6 05:48:25 2021 - DEBUG    src_dej:			0.000000
Jan  6 05:48:25 2021 - DEBUG    tstart:			50000.000000
Jan  6 05:48:25 2021 - DEBUG    tsamp:			0.000032
Jan  6 05:48:25 2021 - DEBUG    refdm:			0.000000
Jan  6 05:48:25 2021 - DEBUG    period:			0.000000
Jan  6 05:48:25 2021 - DEBUG    fch1:			1640.000000
Jan  6 05:48:25 2021 - DEBUG    foff:			-0.371094
Jan  6 05:48:25 2021 - DEBUG    fchannel:		0.000000
Jan  6 05:48:25 2021 - DEBUG    telescope_id:		0
Jan  6 05:48:25 2021 - DEBUG    machine_id:		0
Jan  6 05:48:25 2021 - DEBUG    data_type:		0
Jan  6 05:48:25 2021 - DEBUG    barycentric:		0
Jan  6 05:48:25 2021 - DEBUG    pulsarcentric:		0
Jan  6 05:48:25 2021 - DEBUG    nbits:			8
Jan  6 05:48:25 2021 - DEBUG    nsamples:		781250
Jan  6 05:48:25 2021 - DEBUG    nchans:			1024
Jan  6 05:48:25 2021 - DEBUG    nifs:			0
Jan  6 05:48:25 2021 - DEBUG    FREQUENCY_START:		0
Jan  6 05:48:25 2021 - DEBUG    FREQUENCY_END:		0
Jan  6 05:48:25 2021 - DEBUG    rawdatafile:		
Jan  6 05:48:25 2021 - DEBUG    source_name:		
Jan  6 05:48:25 2021 - DEBUG    N:			0
Jan  6 05:48:25 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Jan  6 05:48:25 2021 - DEBUG    Optimization settings:
Jan  6 05:48:25 2021 - DEBUG    		UNROLL:			4
Jan  6 05:48:25 2021 - DEBUG    		SNUMREG:		8
Jan  6 05:48:25 2021 - DEBUG    		SDIVINT:		14
Jan  6 05:48:25 2021 - DEBUG    		SDIVINDM:		64
Jan  6 05:48:25 2021 - DEBUG    ddtr+analysis:		false
Jan  6 05:48:25 2021 - DEBUG    ddtr dm ranges:		6
Jan  6 05:48:25 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,112.895996,0.098000,1,1
Jan  6 05:48:25 2021 - DEBUG         dm (low,high,step,inBin,outBin) 112.895996,197.375992,0.120000,2,2
Jan  6 05:48:25 2021 - DEBUG         dm (low,high,step,inBin,outBin) 197.375992,393.216003,0.340000,4,4
Jan  6 05:48:25 2021 - DEBUG         dm (low,high,step,inBin,outBin) 393.216003,869.375977,0.310000,8,8
Jan  6 05:48:25 2021 - DEBUG         dm (low,high,step,inBin,outBin) 869.375977,1784.575928,1.300000,16,16
Jan  6 05:48:25 2021 - DEBUG         dm (low,high,step,inBin,outBin) 1784.575928,3122.175781,1.100000,32,32
Jan  6 05:48:25 2021 - DEBUG    ddtr max_ndms:		1536
Jan  6 05:48:25 2021 - DEBUG    ddtr ndms elements:
Jan  6 05:48:25 2021 - DEBUG         ndms[0]:		1152
Jan  6 05:48:25 2021 - DEBUG         ndms[1]:		704
Jan  6 05:48:25 2021 - DEBUG         ndms[2]:		576
Jan  6 05:48:25 2021 - DEBUG         ndms[3]:		1536
Jan  6 05:48:25 2021 - DEBUG         ndms[4]:		704
Jan  6 05:48:25 2021 - DEBUG         ndms[5]:		1216
Jan  6 05:48:25 2021 - DEBUG    ddtr maxshift:		107744
Jan  6 05:48:25 2021 - DEBUG    ddtr num_tchunks:	1
Jan  6 05:48:25 2021 - DEBUG    ddtr max_ndms:		1536
Jan  6 05:48:25 2021 - DEBUG    t_processed size:	6
Jan  6 05:48:25 2021 - DEBUG    t_processed elements:
Jan  6 05:48:25 2021 - DEBUG         t_processed[0][0]:	666624
Jan  6 05:48:25 2021 - DEBUG         t_processed[1][0]:	333312
Jan  6 05:48:25 2021 - DEBUG         t_processed[2][0]:	166656
Jan  6 05:48:25 2021 - DEBUG         t_processed[3][0]:	83328
Jan  6 05:48:25 2021 - DEBUG         t_processed[4][0]:	41664
Jan  6 05:48:25 2021 - DEBUG         t_processed[5][0]:	20832
Jan  6 05:48:25 2021 - DEBUG    power:			2.000000
Jan  6 05:48:25 2021 - NOTICE   Pipeline is ready.
Jan  6 05:48:25 2021 - NOTICE   Pipeline running over next chunk.
Jan  6 05:48:26 2021 - NOTICE   Pipeline running over next chunk.
Jan  6 05:48:26 2021 - NOTICE   Pipeline running over next chunk.
Jan  6 05:48:26 2021 - NOTICE   Pipeline running over next chunk.
Jan  6 05:48:26 2021 - NOTICE   Pipeline running over next chunk.
Jan  6 05:48:26 2021 - NOTICE   Pipeline running over next chunk.
Jan  6 05:48:26 2021 - NOTICE   Pipeline running over next chunk.
Jan  6 05:48:26 2021 - DEBUG    DDTR -> Memory cleanup after de-dispersion
Jan  6 05:48:26 2021 - NOTICE   Pipeline running over next chunk.
Jan  6 05:48:26 2021 - DEBUG    ------------------------------------------------------------->
Jan  6 05:48:26 2021 - DEBUG    FAKE SIGNAL INFORMATION:
Jan  6 05:48:26 2021 - DEBUG    DM position of signal:		250.000000
Jan  6 05:48:26 2021 - DEBUG    Signal start at [samples]:	6250
Jan  6 05:48:26 2021 - DEBUG    Signal width [samples]:		1250
Jan  6 05:48:26 2021 - DEBUG    Signal sigma selected:		0.500000
Jan  6 05:48:26 2021 - DEBUG    Periodicity selected [ms]:	0
Jan  6 05:48:26 2021 - DEBUG    -------------------------------------------------------------<
Jan  6 05:48:26 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Jan  6 05:48:26 2021 - DEBUG    Optimization settings:
Jan  6 05:48:26 2021 - DEBUG    		UNROLL:			4
Jan  6 05:48:26 2021 - DEBUG    		SNUMREG:		8
Jan  6 05:48:26 2021 - DEBUG    		SDIVINT:		14
Jan  6 05:48:26 2021 - DEBUG    		SDIVINDM:		64
Jan  6 05:48:26 2021 - DEBUG    ddtr+analysis:		false
Jan  6 05:48:26 2021 - DEBUG    ddtr dm ranges:		6
Jan  6 05:48:26 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,112.895996,0.098000,1,1
Jan  6 05:48:26 2021 - DEBUG         dm (low,high,step,inBin,outBin) 112.895996,197.375992,0.120000,2,2
Jan  6 05:48:26 2021 - DEBUG         dm (low,high,step,inBin,outBin) 197.375992,393.216003,0.340000,4,4
Jan  6 05:48:26 2021 - DEBUG         dm (low,high,step,inBin,outBin) 393.216003,869.375977,0.310000,8,8
Jan  6 05:48:26 2021 - DEBUG         dm (low,high,step,inBin,outBin) 869.375977,1784.575928,1.300000,16,16
Jan  6 05:48:26 2021 - DEBUG         dm (low,high,step,inBin,outBin) 1784.575928,3122.175781,1.100000,32,32
Jan  6 05:48:26 2021 - DEBUG    ddtr max_ndms:		1536
Jan  6 05:48:26 2021 - DEBUG    ddtr ndms elements:
Jan  6 05:48:26 2021 - DEBUG         ndms[0]:		1152
Jan  6 05:48:26 2021 - DEBUG         ndms[1]:		704
Jan  6 05:48:26 2021 - DEBUG         ndms[2]:		576
Jan  6 05:48:26 2021 - DEBUG         ndms[3]:		1536
Jan  6 05:48:26 2021 - DEBUG         ndms[4]:		704
Jan  6 05:48:26 2021 - DEBUG         ndms[5]:		1216
Jan  6 05:48:26 2021 - DEBUG    ddtr maxshift:		107744
Jan  6 05:48:26 2021 - DEBUG    ddtr num_tchunks:	1
Jan  6 05:48:26 2021 - DEBUG    ddtr max_ndms:		1536
Jan  6 05:48:26 2021 - DEBUG    t_processed size:	6
Jan  6 05:48:26 2021 - DEBUG    t_processed elements:
Jan  6 05:48:26 2021 - DEBUG         t_processed[0][0]:	666624
Jan  6 05:48:26 2021 - DEBUG         t_processed[1][0]:	333312
Jan  6 05:48:26 2021 - DEBUG         t_processed[2][0]:	166656
Jan  6 05:48:26 2021 - DEBUG         t_processed[3][0]:	83328
Jan  6 05:48:26 2021 - DEBUG         t_processed[4][0]:	41664
Jan  6 05:48:26 2021 - DEBUG         t_processed[5][0]:	20832
Jan  6 05:48:26 2021 - DEBUG    power:			2.000000
Jan  6 05:48:26 2021 - NOTICE   Finished. 1
Jan  6 05:48:26 2021 - NOTICE   ----------------------------------------------------------------------------------------------------------
Jan  6 05:48:26 2021 - DEBUG    Generic Pipeline -> Memory cleanup at the end of the pipeline
Jan  6 05:48:26 2021 - NOTICE   --------------------------------------------------------------
Jan  6 05:48:26 2021 - NOTICE   Summary of the times for each component and subcomponent [ms]:
Jan  6 05:48:26 2021 - NOTICE   	DDTR Binning 	68.530462
Jan  6 05:48:26 2021 - NOTICE   	DDTR Corner_Turn 	33.687904
Jan  6 05:48:26 2021 - NOTICE   	DDTR Dedispersion 	617.106809
Jan  6 05:48:26 2021 - NOTICE   	DDTR Host_To_Device 	1038.696857
Jan  6 05:48:26 2021 - NOTICE   	DDTR total 	1758.223541
Jan  6 05:48:26 2021 - NOTICE   	Total total 	1758.394409
Jan  6 05:48:26 2021 - NOTICE   	Processed telescope time:	21331.968307
Jan  6 05:48:26 2021 - NOTICE    
Jan  6 05:48:26 2021 - NOTICE   	Real-time speed-up factor:	12.131504
Jan  6 05:48:26 2021 - NOTICE   --------------------------------------------------------------

NOTICE: Maxshift memory needed:	210 MB.
NOTICE: Output memory needed:	631 MB.
NOTICE: Maxshift memory needed:	210 MB.
NOTICE: Output memory needed:	631 MB.

Memory allocation for the DDTR
Number of time samples: 666624;
maxshift: 107744
Number of time samples + maxshift: 774368;
Number of channels: 1024
Maximum number of DM-trials: 1536;
Available memory: 11386945536 bytes = 10859.438 MB;
DDTR input size: 1585905664 bytes = 1512.438 MB;
DDTR output size:  4757716992 bytes = 4537.312 MB;
Total memory required: 6343622656 bytes = 6049.750 MB;
NOTICE: Pipeline start/resume run_pipeline_generic.

NOTICE: t_processed:	666624, 0
