Feb  7 04:46:12 2021 - NOTICE   Detected 1 CUDA Capable device(s)
Feb  7 04:46:12 2021 - NOTICE   Device info 0 free 11391139840 (GeForce RTX 2080 Ti)
Feb  7 04:46:12 2021 - NOTICE   Checked for devices.
Feb  7 04:46:12 2021 - NOTICE   Application binary compiled for compute capability 75.
Feb  7 04:46:12 2021 - NOTICE   The requested device has capability 75 and the device code was compiled for a compatible architecture for the selected card.
Feb  7 04:46:12 2021 - NOTICE   init_card complete. Selected card 0.
Feb  7 04:46:12 2021 - DEBUG    CARD INFORMATION:
Feb  7 04:46:12 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb  7 04:46:12 2021 - DEBUG    Compute capability:	7.5
Feb  7 04:46:12 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb  7 04:46:12 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb  7 04:46:12 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb  7 04:46:12 2021 - DEBUG    ID # on this machine:	0
Feb  7 04:46:12 2021 - DEBUG    Driver version:		11010
Feb  7 04:46:12 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb  7 04:46:12 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb  7 04:46:12 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb  7 04:46:12 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb  7 04:46:12 2021 - NOTICE   Calculating strategy.
Feb  7 04:46:12 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 768
Feb  7 04:46:12 2021 - DEBUG    Range:	5 MAXSHIFT:	57456 Scrunch value:	32
Feb  7 04:46:12 2021 - DEBUG    Maximum dispersive delay:	 1.838592(s).
Feb  7 04:46:12 2021 - DEBUG    Diagonal DM:	24.952246
Feb  7 04:46:12 2021 - DEBUG    In 1
Feb  7 04:46:12 2021 - NOTICE   The pipeline has reset all previously requested memory on card 0.
Feb  7 04:46:12 2021 - NOTICE   Calculating strategy.
Feb  7 04:46:12 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 768
Feb  7 04:46:12 2021 - DEBUG    Range:	5 MAXSHIFT:	57456 Scrunch value:	32
Feb  7 04:46:12 2021 - DEBUG    Maximum dispersive delay:	 1.838592(s).
Feb  7 04:46:12 2021 - DEBUG    Diagonal DM:	24.952246
Feb  7 04:46:12 2021 - DEBUG    In 1
Feb  7 04:46:12 2021 - NOTICE   Neither zero_dm nor zero_dm_with_outliers were selected. Selection OFF.
Feb  7 04:46:12 2021 - NOTICE   ---PIPELINE DIAGNOSTIC INFORMATION---
Feb  7 04:46:12 2021 - DEBUG    CARD INFORMATION:
Feb  7 04:46:12 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Feb  7 04:46:12 2021 - DEBUG    Compute capability:	7.5
Feb  7 04:46:12 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Feb  7 04:46:12 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Feb  7 04:46:12 2021 - DEBUG    Memory bus width [bits]:	352.000000
Feb  7 04:46:12 2021 - DEBUG    ID # on this machine:	0
Feb  7 04:46:12 2021 - DEBUG    Driver version:		11010
Feb  7 04:46:12 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Feb  7 04:46:12 2021 - DEBUG    Global memory [bytes]:	11554717696
Feb  7 04:46:12 2021 - DEBUG    Total memory [bytes]:	11554717696
Feb  7 04:46:12 2021 - DEBUG    Free memory [bytes]:	11391139840
Feb  7 04:46:12 2021 - DEBUG    FILTERBANK METADATA INFORMATION:
Feb  7 04:46:12 2021 - DEBUG    az_start:		0.000000
Feb  7 04:46:12 2021 - DEBUG    za_start:		0.000000
Feb  7 04:46:12 2021 - DEBUG    src_raj:			0.000000
Feb  7 04:46:12 2021 - DEBUG    src_dej:			0.000000
Feb  7 04:46:12 2021 - DEBUG    tstart:			50000.000000
Feb  7 04:46:12 2021 - DEBUG    tsamp:			0.000032
Feb  7 04:46:12 2021 - DEBUG    refdm:			0.000000
Feb  7 04:46:12 2021 - DEBUG    period:			0.000000
Feb  7 04:46:12 2021 - DEBUG    fch1:			1245.000000
Feb  7 04:46:12 2021 - DEBUG    foff:			-0.253906
Feb  7 04:46:12 2021 - DEBUG    fchannel:		0.000000
Feb  7 04:46:12 2021 - DEBUG    telescope_id:		0
Feb  7 04:46:12 2021 - DEBUG    machine_id:		0
Feb  7 04:46:12 2021 - DEBUG    data_type:		0
Feb  7 04:46:12 2021 - DEBUG    barycentric:		0
Feb  7 04:46:12 2021 - DEBUG    pulsarcentric:		0
Feb  7 04:46:12 2021 - DEBUG    nbits:			8
Feb  7 04:46:12 2021 - DEBUG    nsamples:		625000
Feb  7 04:46:12 2021 - DEBUG    nchans:			512
Feb  7 04:46:12 2021 - DEBUG    nifs:			0
Feb  7 04:46:12 2021 - DEBUG    FREQUENCY_START:		0
Feb  7 04:46:12 2021 - DEBUG    FREQUENCY_END:		0
Feb  7 04:46:12 2021 - DEBUG    rawdatafile:		
Feb  7 04:46:12 2021 - DEBUG    source_name:		
Feb  7 04:46:12 2021 - DEBUG    N:			0
Feb  7 04:46:12 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Feb  7 04:46:12 2021 - DEBUG    Optimization settings:
Feb  7 04:46:12 2021 - DEBUG    		UNROLL:			4
Feb  7 04:46:12 2021 - DEBUG    		SNUMREG:		4
Feb  7 04:46:12 2021 - DEBUG    		SDIVINT:		14
Feb  7 04:46:12 2021 - DEBUG    		SDIVINDM:		64
Feb  7 04:46:12 2021 - DEBUG    ddtr+analysis:		false
Feb  7 04:46:12 2021 - DEBUG    ddtr dm ranges:		6
Feb  7 04:46:12 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,103.680008,0.270000,1,1
Feb  7 04:46:12 2021 - DEBUG         dm (low,high,step,inBin,outBin) 103.680008,197.120010,0.730000,2,2
Feb  7 04:46:12 2021 - DEBUG         dm (low,high,step,inBin,outBin) 197.120010,320.000000,0.160000,4,4
Feb  7 04:46:12 2021 - DEBUG         dm (low,high,step,inBin,outBin) 320.000000,640.000000,2.500000,8,8
Feb  7 04:46:12 2021 - DEBUG         dm (low,high,step,inBin,outBin) 640.000000,1177.600098,1.200000,16,16
Feb  7 04:46:12 2021 - DEBUG         dm (low,high,step,inBin,outBin) 1177.600098,2675.200195,3.900000,32,32
Feb  7 04:46:12 2021 - DEBUG    ddtr max_ndms:		768
Feb  7 04:46:12 2021 - DEBUG    ddtr ndms elements:
Feb  7 04:46:12 2021 - DEBUG         ndms[0]:		384
Feb  7 04:46:12 2021 - DEBUG         ndms[1]:		128
Feb  7 04:46:12 2021 - DEBUG         ndms[2]:		768
Feb  7 04:46:12 2021 - DEBUG         ndms[3]:		128
Feb  7 04:46:12 2021 - DEBUG         ndms[4]:		448
Feb  7 04:46:12 2021 - DEBUG         ndms[5]:		384
Feb  7 04:46:12 2021 - DEBUG    ddtr maxshift:		57456
Feb  7 04:46:12 2021 - DEBUG    ddtr num_tchunks:	1
Feb  7 04:46:12 2021 - DEBUG    ddtr max_ndms:		768
Feb  7 04:46:12 2021 - DEBUG    t_processed size:	6
Feb  7 04:46:12 2021 - DEBUG    t_processed elements:
Feb  7 04:46:12 2021 - DEBUG         t_processed[0][0]:	566272
Feb  7 04:46:12 2021 - DEBUG         t_processed[1][0]:	283136
