Mar 22 13:16:55 2021 - NOTICE   Detected 1 CUDA Capable device(s)
Mar 22 13:16:55 2021 - NOTICE   Device info 0 free 11391139840 (GeForce RTX 2080 Ti)
Mar 22 13:16:55 2021 - NOTICE   Checked for devices.
Mar 22 13:16:55 2021 - NOTICE   Application binary compiled for compute capability 75.
Mar 22 13:16:55 2021 - NOTICE   The requested device has capability 75 and the device code was compiled for a compatible architecture for the selected card.
Mar 22 13:16:55 2021 - NOTICE   init_card complete. Selected card 0.
Mar 22 13:16:55 2021 - DEBUG    CARD INFORMATION:
Mar 22 13:16:55 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Mar 22 13:16:55 2021 - DEBUG    Compute capability:	7.5
Mar 22 13:16:55 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Mar 22 13:16:55 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Mar 22 13:16:55 2021 - DEBUG    Memory bus width [bits]:	352.000000
Mar 22 13:16:55 2021 - DEBUG    ID # on this machine:	0
Mar 22 13:16:55 2021 - DEBUG    Driver version:		11010
Mar 22 13:16:55 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Mar 22 13:16:55 2021 - DEBUG    Global memory [bytes]:	11554717696
Mar 22 13:16:55 2021 - DEBUG    Total memory [bytes]:	11554717696
Mar 22 13:16:55 2021 - DEBUG    Free memory [bytes]:	11391139840
Mar 22 13:16:55 2021 - NOTICE   Calculating strategy.
Mar 22 13:16:55 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 1025
Mar 22 13:16:55 2021 - DEBUG    Range:	0 MAXSHIFT:	7104 Scrunch value:	1
Mar 22 13:16:55 2021 - DEBUG    Maximum dispersive delay:	 3.637248(s).
Mar 22 13:16:55 2021 - DEBUG    Diagonal DM:	663.203766
Mar 22 13:16:55 2021 - DEBUG    In 2
Mar 22 13:16:55 2021 - NOTICE   The pipeline has reset all previously requested memory on card 0.
Mar 22 13:16:55 2021 - NOTICE   Calculating strategy.
Mar 22 13:16:55 2021 - DEBUG    Maximum number of dm trials in any of the range steps: 1025
Mar 22 13:16:55 2021 - DEBUG    Range:	0 MAXSHIFT:	7104 Scrunch value:	1
Mar 22 13:16:55 2021 - DEBUG    Maximum dispersive delay:	 3.637248(s).
Mar 22 13:16:55 2021 - DEBUG    Diagonal DM:	663.203766
Mar 22 13:16:55 2021 - DEBUG    In 2
Mar 22 13:16:55 2021 - NOTICE   Neither zero_dm nor zero_dm_with_outliers were selected. Selection OFF.
Mar 22 13:16:55 2021 - NOTICE   ---PIPELINE DIAGNOSTIC INFORMATION---
Mar 22 13:16:55 2021 - DEBUG    CARD INFORMATION:
Mar 22 13:16:55 2021 - DEBUG    Name:			GeForce RTX 2080 Ti
Mar 22 13:16:55 2021 - DEBUG    Compute capability:	7.5
Mar 22 13:16:55 2021 - DEBUG    Clock rate [kHz]:	1650000.000000
Mar 22 13:16:55 2021 - DEBUG    Memory clock rate [kHz]:	7000000.000000
Mar 22 13:16:55 2021 - DEBUG    Memory bus width [bits]:	352.000000
Mar 22 13:16:55 2021 - DEBUG    ID # on this machine:	0
Mar 22 13:16:55 2021 - DEBUG    Driver version:		11010
Mar 22 13:16:55 2021 - DEBUG    l2_cache_size [bytes]:	5767168
Mar 22 13:16:55 2021 - DEBUG    Global memory [bytes]:	11554717696
Mar 22 13:16:55 2021 - DEBUG    Total memory [bytes]:	11554717696
Mar 22 13:16:55 2021 - DEBUG    Free memory [bytes]:	11391139840
Mar 22 13:16:55 2021 - DEBUG    FILTERBANK METADATA INFORMATION:
Mar 22 13:16:55 2021 - DEBUG    az_start:		0.000000
Mar 22 13:16:55 2021 - DEBUG    za_start:		0.000000
Mar 22 13:16:55 2021 - DEBUG    src_raj:			0.000000
Mar 22 13:16:55 2021 - DEBUG    src_dej:			0.000000
Mar 22 13:16:55 2021 - DEBUG    tstart:			50000.000000
Mar 22 13:16:55 2021 - DEBUG    tsamp:			0.000512
Mar 22 13:16:55 2021 - DEBUG    refdm:			0.000000
Mar 22 13:16:55 2021 - DEBUG    period:			0.000000
Mar 22 13:16:55 2021 - DEBUG    fch1:			570.000000
Mar 22 13:16:55 2021 - DEBUG    foff:			-0.014648
Mar 22 13:16:55 2021 - DEBUG    fchannel:		0.000000
Mar 22 13:16:55 2021 - DEBUG    telescope_id:		0
Mar 22 13:16:55 2021 - DEBUG    machine_id:		0
Mar 22 13:16:55 2021 - DEBUG    data_type:		0
Mar 22 13:16:55 2021 - DEBUG    barycentric:		0
Mar 22 13:16:55 2021 - DEBUG    pulsarcentric:		0
Mar 22 13:16:55 2021 - DEBUG    nbits:			8
Mar 22 13:16:55 2021 - DEBUG    nsamples:		39062
Mar 22 13:16:55 2021 - DEBUG    nchans:			4096
Mar 22 13:16:55 2021 - DEBUG    nifs:			0
Mar 22 13:16:55 2021 - DEBUG    FREQUENCY_START:		0
Mar 22 13:16:55 2021 - DEBUG    FREQUENCY_END:		0
Mar 22 13:16:55 2021 - DEBUG    rawdatafile:		
Mar 22 13:16:55 2021 - DEBUG    source_name:		
Mar 22 13:16:55 2021 - DEBUG    N:			0
Mar 22 13:16:55 2021 - DEBUG    DDTR STRATEGY INFORMATION:
Mar 22 13:16:55 2021 - DEBUG    Optimization settings:
Mar 22 13:16:55 2021 - DEBUG    		UNROLL:			4
Mar 22 13:16:55 2021 - DEBUG    		SNUMREG:		2
Mar 22 13:16:55 2021 - DEBUG    		SDIVINT:		25
Mar 22 13:16:55 2021 - DEBUG    		SDIVINDM:		25
Mar 22 13:16:55 2021 - DEBUG    ddtr+analysis:		false
Mar 22 13:16:55 2021 - DEBUG    ddtr dm ranges:		1
Mar 22 13:16:55 2021 - DEBUG         dm (low,high,step,inBin,outBin) 0.000000,1127.500000,1.100000,1,1
Mar 22 13:16:55 2021 - DEBUG    ddtr max_ndms:		1025
Mar 22 13:16:55 2021 - DEBUG    ddtr ndms elements:
Mar 22 13:16:55 2021 - DEBUG         ndms[0]:		1025
Mar 22 13:16:55 2021 - DEBUG    ddtr maxshift:		7104
Mar 22 13:16:55 2021 - DEBUG    ddtr num_tchunks:	1
Mar 22 13:16:55 2021 - DEBUG    ddtr max_ndms:		1025
Mar 22 13:16:55 2021 - DEBUG    t_processed size:	1
Mar 22 13:16:55 2021 - DEBUG    t_processed elements:
Mar 22 13:16:55 2021 - DEBUG         t_processed[0][0]:	31900
Mar 22 13:16:55 2021 - DEBUG    power:			2.000000
Mar 22 13:16:55 2021 - NOTICE   Pipeline is ready.
Mar 22 13:16:55 2021 - NOTICE   Pipeline running over next chunk.
Mar 22 13:16:56 2021 - NOTICE   Pipeline running over next chunk.
Mar 22 13:16:56 2021 - DEBUG    DDTR -> Memory cleanup after de-dispersion
Mar 22 13:16:56 2021 - NOTICE   Pipeline running over next chunk.
Mar 22 13:16:56 2021 - DEBUG    ------------------------------------------------------------->
Mar 22 13:16:56 2021 - DEBUG    FAKE SIGNAL INFORMATION:
Mar 22 13:16:56 2021 - DEBUG    DM position of signal:		250.000000
Mar 22 13:16:56 2021 - DEBUG    Signal start at [samples]:	390
Mar 22 13:16:56 2021 - DEBUG    Signal width [samples]:		78
Mar 22 13:16:56 2021 - DEBUG    Signal sigma selected:		0.500000
Mar 22 13:16:56 2021 - DEBUG    Periodicity selected [ms]:	0
Mar 22 13:16:56 2021 - DEBUG    -------------------------------------------------------------<
